PO_ID,Supplier_ID,Product_ID,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Quantity_Ordered,Quantity_Received,Unit_Cost,PO_Status
PO_100069,SUP_064,PROD_0202,05-03-2024,2024-03-14,2024-03-14,399,370,404,Closed
PO_100070,SUP_197,PROD_0048,22-10-2024,2024-11-04,2024-11-07,868,840,271,Delayed
PO_100071,SUP_199,PROD_0048,2024/05/22,2024-06-07,2024-06-11,1099,1051,207,Delayed
PO_100072,SUP_110,PROD_0109,06-12-2024,2024-12-22,2024-12-20,1729,1722,313,Open
PO_100073,SUP_125,PROD_0176,14-06-2024,2024-06-28,2024-06-30,1220,1211,335,Closed
PO_100074,SUP_041,PROD_0226,2024/01/24,2024-02-01,2024-02-05,133,127,103,Closed
PO_100075,SUP_071,PROD_0048,07-08-2024,2024-08-18,2024-08-17,1906,1804,372,Open
PO_100076,SUP_186,PROD_0120,2024/02/12,2024-02-28,2024-02-27,206,202,242,Delayed
PO_100077,SUP_152,PROD_0116,16-02-2024,2024-02-24,2024-02-21,537,522,284,Delayed
PO_100078,SUP_109,PROD_0068,2024/08/15,2024-08-20,2024-08-17,1524,1417,215,Closed
PO_100079,SUP_081,PROD_0189,27-04-2024,2024-05-14,2024-05-12,1596,1581,452,Open
PO_100080,SUP_136,PROD_0289,11-03-2024,2024-03-28,2024-03-27,1413,1203,386,Delayed
PO_100081,SUP_192,PROD_0078,28-11-2024,2024-12-08,2024-12-12,819,813,409,Open
PO_100082,SUP_193,PROD_0064,11-11-2024,2024-11-30,2024-11-30,277,272,499,Delayed
PO_100083,SUP_071,PROD_0044,15-07-2024,2024-07-31,2024-08-03,744,663,445,Delayed
PO_100084,SUP_078,PROD_0106,2024/11/03,2024-11-17,2024-11-14,1836,1825,473,Delayed
PO_100085,SUP_062,PROD_0254,17-09-2024,2024-09-28,2024-10-01,705,648,370,Closed
PO_100086,SUP_004,PROD_0185,2024/05/03,2024-05-23,2024-05-29,245,228,310,Closed
PO_100087,SUP_121,PROD_0038,17-07-2024,2024-08-04,2024-08-06,1218,1039,389,Delayed
PO_100088,SUP_102,PROD_0260,2024/02/04,2024-02-09,2024-02-10,541,495,60,Delayed
PO_100089,SUP_138,PROD_0276,30-12-2024,2025-01-17,2025-01-20,1537,1463,245,Closed
PO_100090,SUP_040,PROD_0275,2024/05/22,2024-05-29,2024-05-30,261,241,301,Open
PO_100091,SUP_062,PROD_0030,2024/10/27,2024-11-03,2024-11-04,1530,1362,263,Closed
PO_100092,SUP_171,PROD_0090,10-08-2024,2024-08-18,2024-08-22,1353,1180,351,Closed
PO_100093,SUP_134,PROD_0265,2024/12/28,2025-01-06,2025-01-03,435,402,294,Closed
PO_100094,SUP_008,PROD_0172,09-07-2024,2024-07-18,2024-07-19,1601,1566,493,Open
PO_100095,SUP_128,PROD_0234,2024/05/19,2024-05-26,2024-05-27,1558,1454,335,Open
PO_100096,SUP_198,PROD_0053,29-01-2024,2024-02-18,2024-02-24,441,388,228,Closed
PO_100097,SUP_012,PROD_0242,17-09-2024,2024-09-22,2024-09-19,1858,1765,481,Open
PO_100098,SUP_190,PROD_0215,2024/03/17,2024-03-27,2024-03-24,1232,1104,451,Open
PO_100099,SUP_096,PROD_0062,07-05-2024,2024-05-25,2024-05-27,655,620,462,Delayed
PO_100100,SUP_103,PROD_0036,2024/01/27,2024-02-06,2024-02-06,1747,1722,304,Open
PO_100101,SUP_052,PROD_0150,08-06-2024,2024-06-23,2024-06-21,1232,1191,273,Open
PO_100102,SUP_198,PROD_0101,2024/11/14,2024-11-26,2024-11-30,854,787,342,Closed
PO_100103,SUP_178,PROD_0005,04-01-2024,2024-01-22,2024-01-19,577,532,317,Closed
PO_100104,SUP_061,PROD_0215,2024/12/02,2024-12-19,2024-12-20,312,296,145,Closed
PO_100105,SUP_134,PROD_0212,2024/03/13,2024-03-26,2024-03-24,189,182,158,Open
PO_100106,SUP_101,PROD_0039,22-08-2024,2024-08-29,2024-09-04,295,287,298,Delayed
PO_100107,SUP_081,PROD_0202,01-02-2024,2024-02-19,2024-02-18,584,537,189,Open
PO_100108,SUP_198,PROD_0300,19-08-2024,2024-09-01,2024-09-01,252,220,143,Closed
PO_100109,SUP_138,PROD_0184,24-02-2024,2024-03-05,2024-03-09,1054,948,200,Open
PO_100110,SUP_176,PROD_0156,06-06-2024,2024-06-25,2024-06-26,1845,1588,101,Closed
PO_100111,SUP_102,PROD_0263,2024/06/16,2024-06-25,2024-06-23,1556,1334,167,Delayed
PO_100112,SUP_143,PROD_0282,2024/06/02,2024-06-15,2024-06-14,163,145,247,Closed
PO_100113,SUP_200,PROD_0114,24-08-2024,2024-09-01,2024-08-31,348,303,46,Closed
PO_100114,SUP_020,PROD_0012,24-07-2024,2024-08-09,2024-08-07,1292,1114,340,Closed
PO_100115,SUP_085,PROD_0063,2024/11/26,2024-12-15,2024-12-14,288,246,473,Open
PO_100116,SUP_128,PROD_0016,2024/01/26,2024-02-05,2024-02-11,987,935,460,Delayed
PO_100117,SUP_115,PROD_0077,06-08-2024,2024-08-16,2024-08-18,539,462,135,Delayed
PO_100118,SUP_123,PROD_0032,2024/11/13,2024-11-25,2024-11-26,1121,974,250,Open
PO_100119,SUP_135,PROD_0128,2024/07/15,2024-07-24,2024-07-27,508,500,369,Closed
PO_100120,SUP_145,PROD_0258,14-07-2024,2024-07-30,2024-08-03,1215,1114,440,Open
PO_100121,SUP_200,PROD_0144,18-05-2024,2024-05-28,2024-05-25,753,647,345,Open
PO_100122,SUP_169,PROD_0124,28-09-2024,2024-10-14,2024-10-20,576,523,121,Delayed
PO_100123,SUP_045,PROD_0091,29-01-2024,2024-02-10,2024-02-16,1833,1679,448,Delayed
PO_100124,SUP_146,PROD_0289,2024/06/11,2024-06-27,2024-07-03,157,137,400,Delayed
PO_100125,SUP_024,PROD_0029,06-04-2024,2024-04-26,2024-05-01,732,651,129,Delayed
PO_100126,SUP_158,PROD_0104,22-04-2024,2024-04-27,2024-05-02,1078,949,40,Open
PO_100127,SUP_037,PROD_0057,2024/03/31,2024-04-15,2024-04-12,144,138,115,Open
PO_100128,SUP_083,PROD_0070,07-02-2024,2024-02-23,2024-02-26,1300,1145,91,Delayed
PO_100129,SUP_178,PROD_0183,2024/08/11,2024-08-31,2024-09-02,456,415,402,Delayed
PO_100130,SUP_033,PROD_0091,2024/10/28,2024-11-07,2024-11-10,728,711,415,Closed
PO_100131,SUP_157,PROD_0114,2024/12/25,2025-01-11,2025-01-17,166,161,133,Delayed
PO_100132,SUP_089,PROD_0164,23-02-2024,2024-03-14,2024-03-13,778,682,421,Delayed
PO_100133,SUP_178,PROD_0035,15-02-2024,2024-03-01,2024-03-05,123,115,175,Open
PO_100134,SUP_043,PROD_0212,2024/02/25,2024-03-01,2024-02-27,890,882,264,Open
PO_100135,SUP_148,PROD_0116,2024/06/28,2024-07-15,2024-07-13,1797,1610,285,Open
PO_100136,SUP_027,PROD_0038,07-02-2024,2024-02-13,2024-02-14,141,129,203,Closed
PO_100137,SUP_087,PROD_0248,2024/07/11,2024-07-21,2024-07-19,1220,1217,499,Closed
PO_100138,SUP_026,PROD_0170,08-08-2024,2024-08-18,2024-08-24,1922,1738,262,Closed
PO_100139,SUP_101,PROD_0293,28-07-2024,2024-08-10,2024-08-11,709,672,161,Open
PO_100140,SUP_170,PROD_0246,19-03-2024,2024-03-25,2024-03-27,107,96,258,Closed
PO_100141,SUP_122,PROD_0060,2024/01/14,2024-01-25,2024-01-24,1407,1273,189,Open
PO_100142,SUP_048,PROD_0190,2024/08/29,2024-09-18,2024-09-19,286,267,368,Open
PO_100143,SUP_058,PROD_0138,05-04-2024,2024-04-24,2024-04-21,639,615,265,Closed
PO_100144,SUP_106,PROD_0117,2024/03/18,2024-03-26,2024-03-24,1468,1388,216,Closed
PO_100145,SUP_147,PROD_0121,2024/07/17,2024-08-04,2024-08-09,1507,1401,483,Open
PO_100146,SUP_147,PROD_0076,2024/02/10,2024-02-27,2024-02-24,1128,988,332,Open
PO_100147,SUP_109,PROD_0041,29-03-2024,2024-04-08,2024-04-08,1755,1713,138,Closed
PO_100148,SUP_018,PROD_0045,2024/11/17,2024-11-26,2024-12-02,628,582,203,Delayed
PO_100149,SUP_004,PROD_0268,2024/07/22,2024-08-06,2024-08-07,1164,1096,274,Closed
PO_100150,SUP_026,PROD_0055,2024/07/31,2024-08-09,2024-08-08,1260,1215,341,Closed
PO_100151,SUP_147,PROD_0243,2024/05/26,2024-06-11,2024-06-14,640,548,236,Closed
PO_100152,SUP_103,PROD_0020,2024/05/21,2024-06-07,2024-06-06,1366,1262,351,Open
PO_100153,SUP_096,PROD_0011,2024/12/19,2024-12-31,2024-12-28,1627,1468,283,Open
PO_100154,SUP_059,PROD_0069,2024/06/08,2024-06-21,2024-06-25,1857,1731,396,Delayed
PO_100155,SUP_023,PROD_0097,2024/08/14,2024-08-29,2024-08-30,1592,1466,253,Closed
PO_100156,SUP_132,PROD_0082,2024/07/27,2024-08-16,2024-08-21,1876,1627,231,Open
PO_100157,SUP_146,PROD_0015,2024/12/29,2025-01-15,2025-01-14,1698,1531,475,Closed
PO_100158,SUP_093,PROD_0102,12-04-2024,2024-04-18,2024-04-18,167,149,273,Open
PO_100159,SUP_126,PROD_0229,25-08-2024,2024-09-11,2024-09-09,1495,1315,55,Open
PO_100160,SUP_192,PROD_0047,2024/10/27,2024-11-12,2024-11-14,434,404,468,Closed
PO_100161,SUP_055,PROD_0114,2024/07/16,2024-07-22,2024-07-21,1848,1685,332,Delayed
PO_100162,SUP_197,PROD_0005,2024/04/15,2024-04-28,2024-05-01,1151,1099,50,Closed
PO_100163,SUP_156,PROD_0157,27-11-2024,2024-12-07,2024-12-13,1740,1619,44,Open
PO_100164,SUP_174,PROD_0267,11-07-2024,2024-07-27,2024-07-31,616,602,151,Open
PO_100165,SUP_096,PROD_0288,2024/10/26,2024-11-03,2024-10-31,1147,1139,379,Delayed
PO_100166,SUP_087,PROD_0142,07-11-2024,2024-11-21,2024-11-22,1501,1438,95,Open
PO_100167,SUP_062,PROD_0030,2024/05/21,2024-06-03,2024-06-04,485,463,116,Delayed
PO_100168,SUP_067,PROD_0215,2024/06/12,2024-06-21,2024-06-18,1442,1328,294,Open
PO_100169,SUP_137,PROD_0244,19-01-2024,2024-01-30,2024-02-01,1587,1580,405,Delayed
PO_100170,SUP_047,PROD_0151,2024/07/02,2024-07-16,2024-07-15,1821,1596,376,Open
PO_100171,SUP_086,PROD_0046,2024/03/06,2024-03-19,2024-03-24,1662,1468,133,Open
PO_100172,SUP_067,PROD_0300,24-04-2024,2024-05-08,2024-05-11,1714,1606,494,Open
PO_100173,SUP_159,PROD_0037,2024/03/01,2024-03-21,2024-03-18,1874,1833,364,Closed
PO_100174,SUP_039,PROD_0071,13-09-2024,2024-09-21,2024-09-24,1185,1058,192,Open
PO_100175,SUP_200,PROD_0042,2024/07/28,2024-08-16,2024-08-15,747,696,481,Open
PO_100176,SUP_071,PROD_0108,19-11-2024,2024-11-29,2024-12-01,1399,1383,69,Closed
PO_100177,SUP_034,PROD_0223,2024/10/22,2024-11-01,2024-11-05,1708,1670,430,Open
PO_100178,SUP_188,PROD_0192,2024/08/07,2024-08-27,2024-08-30,109,92,59,Open
PO_100179,SUP_064,PROD_0116,2024/09/28,2024-10-09,2024-10-06,1485,1439,42,Open
PO_100180,SUP_043,PROD_0034,2024/06/08,2024-06-17,2024-06-15,885,763,297,Open
PO_100181,SUP_176,PROD_0069,28-05-2024,2024-06-16,2024-06-21,1321,1209,308,Open
PO_100182,SUP_059,PROD_0115,02-07-2024,2024-07-13,2024-07-12,1957,1730,455,Closed
PO_100183,SUP_010,PROD_0193,2024/01/12,2024-01-22,2024-01-20,850,787,404,Delayed
PO_100184,SUP_006,PROD_0025,15-11-2024,2024-11-21,2024-11-27,198,190,378,Closed
PO_100185,SUP_180,PROD_0079,01-08-2024,2024-08-20,2024-08-23,353,313,320,Delayed
PO_100186,SUP_134,PROD_0139,17-12-2024,2024-12-22,2024-12-23,961,851,378,Open
PO_100187,SUP_051,PROD_0103,23-02-2024,2024-03-02,2024-03-03,333,332,441,Open
PO_100188,SUP_011,PROD_0281,24-09-2024,2024-10-05,2024-10-07,1540,1436,249,Closed
PO_100189,SUP_023,PROD_0057,18-12-2024,2025-01-07,2025-01-09,580,566,41,Delayed
PO_100190,SUP_186,PROD_0052,09-09-2024,2024-09-18,2024-09-16,1696,1572,301,Delayed
PO_100191,SUP_045,PROD_0021,28-04-2024,2024-05-17,2024-05-18,640,581,277,Open
PO_100192,SUP_195,PROD_0024,12-12-2024,2024-12-27,2024-12-30,1612,1372,99,Closed
PO_100193,SUP_160,PROD_0138,05-12-2024,2024-12-15,2024-12-17,832,819,497,Delayed
PO_100194,SUP_117,PROD_0140,17-02-2024,2024-03-04,2024-03-06,474,451,98,Delayed
PO_100195,SUP_016,PROD_0082,2024/09/01,2024-09-19,2024-09-18,331,287,107,Open
PO_100196,SUP_098,PROD_0184,29-10-2024,2024-11-18,2024-11-24,1489,1421,264,Closed
PO_100197,SUP_106,PROD_0226,16-12-2024,2024-12-25,2024-12-29,1984,1709,289,Closed
PO_100198,SUP_197,PROD_0296,2024/05/13,2024-05-28,2024-05-25,1542,1495,484,Delayed
PO_100199,SUP_025,PROD_0222,2024/04/24,2024-05-09,2024-05-14,1171,1164,392,Delayed
PO_100200,SUP_039,PROD_0286,2024/05/07,2024-05-27,2024-05-29,1459,1396,386,Closed
PO_100201,SUP_043,PROD_0039,2024/01/06,2024-01-16,2024-01-21,1838,1813,280,Open
PO_100202,SUP_165,PROD_0194,03-05-2024,2024-05-18,2024-05-19,203,197,299,Closed
PO_100203,SUP_128,PROD_0229,10-02-2024,2024-02-29,2024-03-04,1740,1640,333,Closed
PO_100204,SUP_141,PROD_0001,11-09-2024,2024-09-16,2024-09-14,926,810,251,Delayed
PO_100205,SUP_117,PROD_0175,2024/11/12,2024-11-26,2024-12-01,1251,1156,145,Closed
PO_100206,SUP_122,PROD_0187,2024/04/24,2024-05-13,2024-05-15,1247,1242,432,Open
PO_100207,SUP_163,PROD_0150,28-02-2024,2024-03-07,2024-03-07,104,104,214,Open
PO_100208,SUP_184,PROD_0210,25-12-2024,2025-01-02,2024-12-30,1936,1699,124,Open
PO_100209,SUP_118,PROD_0098,08-11-2024,2024-11-19,2024-11-19,347,339,476,Open
PO_100210,SUP_151,PROD_0064,2024/02/25,2024-03-14,2024-03-11,1997,1927,364,Open
PO_100211,SUP_142,PROD_0222,2024/12/03,2024-12-12,2024-12-16,108,106,311,Delayed
PO_100212,SUP_156,PROD_0165,2024/03/31,2024-04-10,2024-04-09,312,297,238,Open
PO_100213,SUP_116,PROD_0069,2024/08/02,2024-08-14,2024-08-15,914,811,215,Open
PO_100214,SUP_142,PROD_0112,2024/11/04,2024-11-18,2024-11-23,1862,1684,200,Closed
PO_100215,SUP_182,PROD_0092,15-11-2024,2024-11-29,2024-12-01,1986,1945,384,Delayed
PO_100216,SUP_150,PROD_0293,2024/12/21,2025-01-05,2025-01-03,1658,1650,220,Delayed
PO_100217,SUP_004,PROD_0268,2024/12/29,2025-01-16,2025-01-21,685,595,489,Closed
PO_100218,SUP_193,PROD_0083,14-07-2024,2024-07-23,2024-07-20,1472,1324,68,Delayed
PO_100219,SUP_193,PROD_0278,08-05-2024,2024-05-17,2024-05-14,1514,1294,441,Open
PO_100220,SUP_058,PROD_0288,2024/08/19,2024-08-27,2024-09-02,1877,1794,385,Closed
PO_100221,SUP_176,PROD_0161,18-09-2024,2024-10-02,2024-09-29,1997,1979,235,Closed
PO_100222,SUP_114,PROD_0116,2024/01/07,2024-01-20,2024-01-20,1370,1326,484,Delayed
PO_100223,SUP_199,PROD_0100,2024/12/29,2025-01-14,2025-01-20,1219,1111,418,Open
PO_100224,SUP_097,PROD_0021,2024/03/31,2024-04-07,2024-04-06,455,440,416,Open
PO_100225,SUP_002,PROD_0170,2024/10/11,2024-10-24,2024-10-23,429,423,339,Delayed
PO_100226,SUP_161,PROD_0155,20-03-2024,2024-03-26,2024-03-25,760,708,345,Delayed
PO_100227,SUP_057,PROD_0095,08-10-2024,2024-10-24,2024-10-22,1705,1483,402,Delayed
PO_100228,SUP_057,PROD_0110,22-03-2024,2024-04-09,2024-04-14,1199,1188,246,Open
PO_100229,SUP_122,PROD_0288,2024/06/18,2024-07-04,2024-07-05,547,547,425,Closed
PO_100230,SUP_160,PROD_0125,2024/02/28,2024-03-15,2024-03-19,592,508,368,Delayed
PO_100231,SUP_073,PROD_0013,2024/06/13,2024-06-30,2024-06-28,890,888,171,Open
PO_100232,SUP_050,PROD_0165,2024/09/20,2024-10-09,2024-10-13,189,176,191,Closed
PO_100233,SUP_054,PROD_0110,2024/02/19,2024-02-29,2024-03-05,1192,1188,43,Open
PO_100234,SUP_190,PROD_0223,2024/02/23,2024-03-05,2024-03-10,1797,1563,399,Delayed
PO_100235,SUP_023,PROD_0038,17-12-2024,2024-12-26,2024-12-23,1040,897,407,Closed
PO_100236,SUP_105,PROD_0199,2024/05/08,2024-05-15,2024-05-21,1782,1744,156,Delayed
PO_100237,SUP_137,PROD_0004,2024/07/26,2024-08-13,2024-08-15,134,133,239,Delayed
PO_100238,SUP_092,PROD_0258,2024/11/12,2024-11-19,2024-11-25,193,167,398,Open
PO_100239,SUP_113,PROD_0196,2024/12/17,2024-12-31,2025-01-06,277,260,184,Delayed
PO_100240,SUP_101,PROD_0280,16-01-2024,2024-02-05,2024-02-04,1192,1088,152,Delayed
PO_100241,SUP_037,PROD_0064,2024/03/14,2024-03-28,2024-03-30,122,104,323,Closed
PO_100242,SUP_192,PROD_0177,20-10-2024,2024-11-06,2024-11-11,1221,1091,83,Open
PO_100243,SUP_065,PROD_0100,2024/11/26,2024-12-05,2024-12-04,476,418,153,Closed
PO_100244,SUP_075,PROD_0035,2024/12/09,2024-12-15,2024-12-20,1044,951,370,Closed
PO_100245,SUP_061,PROD_0052,2024/04/11,2024-05-01,2024-05-03,831,742,105,Delayed
PO_100246,SUP_169,PROD_0157,05-02-2024,2024-02-16,2024-02-18,1095,1079,270,Closed
PO_100247,SUP_064,PROD_0114,16-10-2024,2024-11-01,2024-11-03,977,941,126,Open
PO_100248,SUP_092,PROD_0157,03-07-2024,2024-07-12,2024-07-14,1897,1861,285,Delayed
PO_100249,SUP_036,PROD_0276,25-02-2024,2024-03-06,2024-03-12,267,238,470,Open
PO_100250,SUP_162,PROD_0016,2024/11/16,2024-11-23,2024-11-21,1927,1844,49,Delayed
PO_100251,SUP_139,PROD_0242,2024/04/18,2024-04-24,2024-04-29,633,621,318,Closed
PO_100252,SUP_075,PROD_0069,2024/07/06,2024-07-23,2024-07-23,1925,1873,435,Delayed
PO_100253,SUP_062,PROD_0085,18-09-2024,2024-09-25,2024-09-28,845,753,297,Open
PO_100254,SUP_038,PROD_0248,2024/03/22,2024-04-01,2024-04-07,1258,1160,377,Closed
PO_100255,SUP_011,PROD_0106,22-04-2024,2024-05-12,2024-05-12,228,226,175,Open
PO_100256,SUP_167,PROD_0166,17-07-2024,2024-08-06,2024-08-10,1905,1671,63,Delayed
PO_100257,SUP_097,PROD_0194,2024/09/23,2024-10-06,2024-10-07,1285,1185,318,Delayed
PO_100258,SUP_058,PROD_0265,2024/11/30,2024-12-07,2024-12-12,615,573,232,Open
PO_100259,SUP_036,PROD_0226,25-06-2024,2024-07-15,2024-07-19,1916,1712,349,Closed
PO_100260,SUP_155,PROD_0061,09-02-2024,2024-02-22,2024-02-22,407,387,135,Closed
PO_100261,SUP_054,PROD_0083,31-07-2024,2024-08-15,2024-08-13,1086,1028,385,Closed
PO_100262,SUP_162,PROD_0263,04-05-2024,2024-05-10,2024-05-09,1274,1092,343,Delayed
PO_100263,SUP_104,PROD_0289,2024/03/16,2024-03-22,2024-03-21,628,614,132,Closed
PO_100264,SUP_121,PROD_0247,2024/12/04,2024-12-18,2024-12-16,543,482,269,Closed
PO_100265,SUP_169,PROD_0262,29-07-2024,2024-08-07,2024-08-13,1780,1648,432,Closed
PO_100266,SUP_097,PROD_0198,17-12-2024,2025-01-01,2025-01-05,1321,1155,342,Closed
PO_100267,SUP_039,PROD_0050,2024/01/09,2024-01-20,2024-01-25,1860,1671,298,Open
PO_100268,SUP_124,PROD_0067,10-11-2024,2024-11-16,2024-11-21,1130,1114,425,Delayed
PO_100269,SUP_179,PROD_0272,2024/01/01,2024-01-19,2024-01-24,961,925,229,Closed
PO_100270,SUP_195,PROD_0295,2024/09/03,2024-09-20,2024-09-22,1306,1135,451,Open
