Supplier_ID,Supplier_Name,Supplier_Type,Country,Lead_Time_Days,Contract_Type,Supplier_Rating
SUP_168,Global Supplier 168,Logistics,India,13,Annual,4.63
SUP_169,Global Supplier 169,Logistics,India,11,Spot,4.33
SUP_170,Global Supplier 170,Packaging,China,18,Quarterly,4.05
SUP_171,Global Supplier 171,logistics,China,24,Quarterly,3.72
SUP_172,Global Supplier 172,Raw Material,UAE,23,Spot,4.75
SUP_173,Global Supplier 173,Logistics,UAE,19,Spot,3.78
SUP_174,Global Supplier 174,logistics,USA,20,Spot,4.63
SUP_175,Global Supplier 175,logistics,China,9,Spot,3.88
SUP_176,Global Supplier 176,Packaging,India,7,Spot,3.75
SUP_177,Global Supplier 177,Logistics,UAE,16,Quarterly,3.93
SUP_178,Global Supplier 178,Logistics,UAE,24,Quarterly,3.6
SUP_179,Global Supplier 179,Raw Material,India,8,Spot,4.5
SUP_180,Global Supplier 180,Logistics,UAE,20,Annual,4.01
SUP_181,Global Supplier 181,Raw Material,USA,11,Spot,3.46
SUP_182,Global Supplier 182,Logistics,China,17,Annual,4.8
SUP_183,Global Supplier 183,Packaging,India,14,Spot,3.77
SUP_184,Global Supplier 184,Logistics,China,11,Spot,4.09
SUP_185,Global Supplier 185,Raw Material,UAE,18,Quarterly,4.81
SUP_186,Global Supplier 186,Raw Material,UAE,9,Annual,4.25
SUP_187,Global Supplier 187,Packaging,India,7,Annual,3.23
SUP_188,Global Supplier 188,Logistics,USA,15,Quarterly,4.88
SUP_189,Global Supplier 189,Logistics,Germany,15,Quarterly,4.26
SUP_190,Global Supplier 190,Packaging,India,22,Quarterly,3.67
SUP_191,Global Supplier 191,Logistics,Germany,19,Quarterly,3.28
SUP_192,Global Supplier 192,Logistics,Germany,16,Annual,4.59
SUP_193,Global Supplier 193,Raw Material,USA,13,Annual,4.24
SUP_194,Global Supplier 194,Logistics,Germany,14,Spot,4.07
SUP_195,Global Supplier 195,Logistics,Germany,16,Spot,4.79
SUP_196,Global Supplier 196,Packaging,USA,21,Quarterly,
SUP_197,Global Supplier 197,Packaging,Germany,10,Quarterly,3.3
SUP_198,Global Supplier 198,logistics,Germany,11,Quarterly,3.62
SUP_199,Global Supplier 199,Raw Material,Germany,18,Spot,3.5
SUP_200,Global Supplier 200,Logistics,India,17,Spot,4.49
