Sales_Order_ID,Customer_ID,Product_ID,Order_Date,Quantity_Ordered,Order_Value,Order_Channel,Order_Status
SO_100027,CUST_0029,PROD_0147,2024-08-22,464,339648,Direct,Cancelled
SO_100028,CUST_0291,PROD_0062,2024-05-18,174,95526,Distributor,Pending
SO_100029,CUST_0179,PROD_0006,2024-08-28,19,16986,Online,Pending
SO_100030,CUST_0110,PROD_0177,2024-12-01,362,124166,Direct,Pending
SO_100031,CUST_0411,PROD_0268,2024-04-24,28,17304,Online,Pending
SO_100032,CUST_0334,PROD_0160,2024-05-27,459,97308,Direct,Completed
SO_100033,CUST_0169,PROD_0161,2024-10-08,376,121448,Direct,Completed
SO_100034,CUST_0207,PROD_0010,2024-08-11,114,103854,Distributor,Completed
SO_100035,CUST_0084,PROD_0220,2024-05-07,245,76930,Online,Cancelled
SO_100036,CUST_0316,PROD_0253,2024-04-14,353,70953,Online,Pending
SO_100037,CUST_0096,PROD_0264,2024-12-25,87,15486,Online,Completed
SO_100038,CUST_0441,PROD_0120,2024-10-24,15,8040,Distributor,Cancelled
SO_100039,CUST_0203,PROD_0039,2024-10-27,226,187354,Distributor,Completed
SO_100040,CUST_0396,PROD_0029,2024-02-29,468,196560,Online,Completed
SO_100041,CUST_0496,PROD_0050,2024-10-03,160,40480,Online,Pending
SO_100042,CUST_0287,PROD_0262,2024-08-17,142,98548,Online,Pending
SO_100043,CUST_0160,PROD_0117,2024-03-20,196,48216,Direct,Cancelled
SO_100044,CUST_0484,PROD_0094,2024-10-10,189,105273,Direct,Completed
SO_100045,CUST_0489,PROD_0070,2024-04-16,27,16983,Distributor,Completed
SO_100046,CUST_0028,PROD_0065,2024-09-14,491,127660,Online,Cancelled
SO_100047,CUST_0385,PROD_0211,2024-06-14,280,48160,Online,Completed
SO_100048,CUST_0390,PROD_0173,2024-04-12,405,83430,Direct,Pending
SO_100049,CUST_0390,PROD_0053,2024-04-27,35,24710,Direct,Pending
SO_100050,CUST_0435,PROD_0275,2024-10-16,220,208120,Direct,Cancelled
SO_100051,CUST_0307,PROD_0037,2024-04-22,188,112612,Online,Cancelled
SO_100052,CUST_0277,PROD_0183,2024-03-28,136,62424,Online,Cancelled
SO_100053,CUST_0066,PROD_0186,2024-04-09,46,40894,Distributor,Pending
SO_100054,CUST_0081,PROD_0036,2024-01-18,488,279624,Direct,Pending
SO_100055,CUST_0173,PROD_0130,2024-01-06,143,101816,Online,Pending
SO_100056,CUST_0304,PROD_0160,2024-02-28,21,16800,Distributor,Completed
SO_100057,CUST_0341,PROD_0077,2024-05-12,481,253006,Online,Completed
SO_100058,CUST_0180,PROD_0146,2024-07-26,484,350416,Direct,Completed
SO_100059,CUST_0067,PROD_0107,2024-08-29,474,99540,Direct,Completed
SO_100060,CUST_0141,PROD_0008,2024-07-17,446,70022,Direct,Pending
SO_100061,CUST_0178,PROD_0027,2024-11-02,220,145640,Online,Completed
SO_100062,CUST_0213,PROD_0099,2024-07-13,32,16224,Distributor,Cancelled
SO_100063,CUST_0196,PROD_0245,2024-05-04,213,44304,Distributor,Pending
SO_100064,CUST_0073,PROD_0074,2024-09-13,149,106833,Direct,Pending
SO_100065,CUST_0029,PROD_0172,2024-05-27,258,175956,Distributor,Completed
SO_100066,CUST_0353,PROD_0116,2024-11-02,23,21436,Distributor,Pending
SO_100067,CUST_0217,PROD_0156,2024-10-25,372,255564,Online,Pending
SO_100068,CUST_0390,PROD_0143,2024-08-04,103,102691,Distributor,Cancelled
SO_100069,CUST_0155,PROD_0038,2024-12-06,136,126480,Distributor,Pending
SO_100070,CUST_0208,PROD_0132,2024-05-01,166,125164,Distributor,Completed
SO_100071,CUST_0477,PROD_0012,2024-05-28,252,98028,Direct,Completed
SO_100072,CUST_0298,PROD_0236,2024-09-07,104,25792,Distributor,Pending
SO_100073,CUST_0018,PROD_0297,2024-03-11,441,184338,Distributor,Completed
SO_100074,CUST_0279,PROD_0032,2024-12-19,454,197490,Online,Completed
SO_100075,CUST_0400,PROD_0048,2024-03-20,420,84000,Online,Completed
SO_100076,CUST_0167,PROD_0023,2024-03-25,291,188568,Distributor,Pending
SO_100077,CUST_0010,PROD_0098,2024-06-06,113,26442,Online,Completed
SO_100078,CUST_0196,PROD_0216,2024-09-26,283,207722,Distributor,Pending
SO_100079,CUST_0070,PROD_0299,2024-03-10,365,297110,Online,Pending
SO_100080,CUST_0346,PROD_0261,2024-07-11,313,276066,Online,Cancelled
SO_100081,CUST_0484,PROD_0144,2024-10-11,113,88253,Direct,Cancelled
SO_100082,CUST_0410,PROD_0257,2024-02-29,454,68100,Distributor,Completed
SO_100083,CUST_0119,PROD_0281,2024-02-24,449,97433,Distributor,Completed
SO_100084,CUST_0295,PROD_0230,2024-06-11,146,132860,Online,Cancelled
SO_100085,CUST_0430,PROD_0300,2024-09-21,464,317376,Direct,Cancelled
SO_100086,CUST_0058,PROD_0294,2024-06-23,19,3933,Online,Cancelled
SO_100087,CUST_0393,PROD_0199,2024-04-03,460,122360,Distributor,Pending
SO_100088,CUST_0211,PROD_0055,2024-08-10,59,52156,Online,Cancelled
SO_100089,CUST_0227,PROD_0161,2024-04-18,169,47827,Distributor,Cancelled
SO_100090,CUST_0021,PROD_0268,2024-10-16,362,254486,Direct,Cancelled
SO_100091,CUST_0468,PROD_0146,2024-01-02,121,32549,Direct,Completed
SO_100092,CUST_0254,PROD_0080,2024-11-22,187,105468,Online,Pending
SO_100093,CUST_0248,PROD_0268,2024-08-30,340,316540,Online,Completed
SO_100094,CUST_0011,PROD_0122,2024-01-30,494,218348,Online,Pending
SO_100095,CUST_0439,PROD_0157,2024-11-11,378,126630,Distributor,Cancelled
SO_100096,CUST_0499,PROD_0021,2024-07-22,97,40837,Online,Cancelled
SO_100097,CUST_0408,PROD_0286,2024-12-18,36,27684,Distributor,Completed
SO_100098,CUST_0240,PROD_0103,2024-02-12,336,163968,Online,Completed
SO_100099,CUST_0364,PROD_0126,2024-12-26,42,37632,Online,Cancelled
SO_100100,CUST_0298,PROD_0131,2024-11-27,313,115810,Online,Cancelled
SO_100101,CUST_0453,PROD_0276,2024-07-13,362,111858,Distributor,Cancelled
SO_100102,CUST_0334,PROD_0150,2024-06-08,75,68550,Online,Cancelled
SO_100103,CUST_0057,PROD_0139,2024-09-30,112,74592,Online,Cancelled
SO_100104,CUST_0002,PROD_0216,2024-05-08,259,98679,Online,Completed
SO_100105,CUST_0211,PROD_0103,2024-10-20,381,188976,Online,Cancelled
SO_100106,CUST_0233,PROD_0133,2024-05-02,212,83528,Direct,Pending
SO_100107,CUST_0386,PROD_0275,2024-03-31,73,63072,Online,Cancelled
SO_100108,CUST_0054,PROD_0160,2024-11-25,416,227968,Online,Cancelled
SO_100109,CUST_0199,PROD_0055,2024-11-11,72,11448,Distributor,Pending
SO_100110,CUST_0141,PROD_0107,2024-02-25,429,150579,Online,Pending
SO_100111,CUST_0106,PROD_0074,2024-09-19,286,45188,Online,Completed
SO_100112,CUST_0214,PROD_0175,2024-07-09,382,47750,Online,Completed
SO_100113,CUST_0402,PROD_0263,2024-02-01,421,71570,Direct,Cancelled
SO_100114,CUST_0271,PROD_0062,2024-12-09,97,76533,Online,Completed
SO_100115,CUST_0222,PROD_0216,2024-07-04,229,138316,Direct,Completed
SO_100116,CUST_0416,PROD_0072,2024-02-01,486,339228,Distributor,Pending
SO_100117,CUST_0452,PROD_0228,2024-11-07,396,336996,Online,Pending
SO_100118,CUST_0117,PROD_0072,2024-03-06,214,61846,Online,Cancelled
SO_100119,CUST_0168,PROD_0118,2024-11-19,381,329184,Direct,Completed
SO_100120,CUST_0439,PROD_0087,2024-10-13,319,264132,Online,Pending
SO_100121,CUST_0348,PROD_0069,2024-04-29,118,72688,Distributor,Pending
SO_100122,CUST_0303,PROD_0274,2024-07-12,431,393072,Direct,Pending
SO_100123,CUST_0421,PROD_0208,2024-06-04,73,22411,Distributor,Completed
SO_100124,CUST_0241,PROD_0052,2024-11-01,419,236735,Distributor,Completed
SO_100125,CUST_0044,PROD_0300,2024-01-17,121,20933,Distributor,Completed
SO_100126,CUST_0328,PROD_0029,2024-05-19,43,20597,Online,Cancelled
SO_100127,CUST_0461,PROD_0162,2024-10-02,70,20090,Online,Completed
SO_100128,CUST_0158,PROD_0257,2024-07-19,167,24716,Direct,Pending
SO_100129,CUST_0484,PROD_0298,2024-03-03,276,216660,Online,Pending
SO_100130,CUST_0283,PROD_0042,2024-11-21,459,314874,Direct,Pending
SO_100131,CUST_0072,PROD_0127,2024-07-04,126,60228,Distributor,Cancelled
SO_100132,CUST_0182,PROD_0249,2024-12-25,426,60492,Online,Pending
SO_100133,CUST_0331,PROD_0046,2024-02-24,43,26617,Direct,Cancelled
SO_100134,CUST_0397,PROD_0232,2024-03-03,18,7344,Distributor,Cancelled
SO_100135,CUST_0271,PROD_0257,2024-05-05,350,164500,Distributor,Completed
SO_100136,CUST_0476,PROD_0257,2024-12-04,225,41175,Direct,Pending
SO_100137,CUST_0336,PROD_0191,2024-12-05,252,229320,Online,Cancelled
SO_100138,CUST_0142,PROD_0210,2024-05-18,205,123615,Distributor,Cancelled
SO_100139,CUST_0281,PROD_0160,2024-05-19,333,44955,Direct,Pending
SO_100140,CUST_0352,PROD_0195,2024-06-09,337,208940,Distributor,Pending
SO_100141,CUST_0013,PROD_0021,2024-06-18,274,253724,Direct,Completed
SO_100142,CUST_0340,PROD_0168,2024-07-14,488,473848,Direct,Cancelled
SO_100143,CUST_0274,PROD_0150,2024-08-10,494,404586,Direct,Completed
SO_100144,CUST_0477,PROD_0191,2024-02-13,28,4144,Distributor,Cancelled
SO_100145,CUST_0328,PROD_0270,2024-03-05,341,115940,Distributor,Completed
SO_100146,CUST_0165,PROD_0070,2024-08-10,120,78240,Distributor,Cancelled
SO_100147,CUST_0246,PROD_0021,2024-02-16,305,94550,Direct,Pending
SO_100148,CUST_0389,PROD_0039,2024-08-06,361,181222,Direct,Pending
SO_100149,CUST_0044,PROD_0056,2024-01-14,27,17172,Distributor,Pending
SO_100150,CUST_0102,PROD_0002,2024-03-11,268,115508,Direct,Pending
SO_100151,CUST_0414,PROD_0198,2024-06-13,335,321265,Distributor,Cancelled
SO_100152,CUST_0256,PROD_0048,2024-01-31,174,84216,Direct,Cancelled
SO_100153,CUST_0007,PROD_0160,2024-07-19,297,125928,Online,Cancelled
SO_100154,CUST_0269,PROD_0236,2024-05-21,301,84882,Distributor,Completed
SO_100155,CUST_0146,PROD_0056,2024-01-02,147,73941,Distributor,Completed
SO_100156,CUST_0068,PROD_0147,2024-11-15,340,155720,Online,Pending
SO_100157,CUST_0346,PROD_0237,2024-06-22,148,55648,Online,Completed
SO_100158,CUST_0321,PROD_0016,2024-11-15,276,50784,Direct,Completed
SO_100159,CUST_0242,PROD_0164,2024-05-01,460,321080,Online,Pending
SO_100160,CUST_0083,PROD_0117,2024-11-30,403,190619,Online,Pending
SO_100161,CUST_0138,PROD_0033,2024-06-17,149,46637,Direct,Completed
SO_100162,CUST_0207,PROD_0286,2024-02-05,59,40769,Online,Cancelled
SO_100163,CUST_0351,PROD_0063,2024-08-30,230,185840,Online,Pending
SO_100164,CUST_0311,PROD_0196,2024-04-15,244,76128,Direct,Pending
SO_100165,CUST_0408,PROD_0019,2024-07-13,108,51624,Distributor,Pending
SO_100166,CUST_0450,PROD_0288,2024-08-22,429,301587,Online,Cancelled
SO_100167,CUST_0127,PROD_0172,2024-02-08,251,51455,Distributor,Pending
SO_100168,CUST_0361,PROD_0206,2024-01-19,278,48650,Distributor,Pending
SO_100169,CUST_0150,PROD_0196,2024-07-09,411,131109,Distributor,Cancelled
SO_100170,CUST_0239,PROD_0105,2024-06-02,407,404965,Online,Completed
SO_100171,CUST_0079,PROD_0088,2024-09-18,95,53390,Online,Cancelled
SO_100172,CUST_0394,PROD_0163,2024-07-08,291,240948,Online,Cancelled
SO_100173,CUST_0193,PROD_0123,2024-03-01,273,77532,Direct,Pending
SO_100174,CUST_0225,PROD_0100,2024-08-28,186,183396,Direct,Cancelled
SO_100175,CUST_0431,PROD_0115,2024-02-22,406,71456,Online,Cancelled
SO_100176,CUST_0089,PROD_0075,2024-05-28,453,295356,Distributor,Pending
SO_100177,CUST_0029,PROD_0055,2024-09-30,144,45504,Online,Pending
SO_100178,CUST_0021,PROD_0025,2024-08-03,22,18458,Online,Pending
SO_100179,CUST_0429,PROD_0032,2024-03-30,482,436210,Online,Pending
SO_100180,CUST_0240,PROD_0294,2024-10-05,209,188727,Distributor,Completed
SO_100181,CUST_0418,PROD_0249,2024-12-30,445,122820,Distributor,Pending
SO_100182,CUST_0037,PROD_0284,2024-10-03,176,50512,Online,Cancelled
SO_100183,CUST_0141,PROD_0281,2024-04-24,93,92163,Direct,Cancelled
SO_100184,CUST_0442,PROD_0203,2024-08-11,296,71632,Online,Pending
SO_100185,CUST_0208,PROD_0248,2024-10-21,158,108862,Distributor,Completed
SO_100186,CUST_0291,PROD_0100,2024-09-15,393,285711,Online,Completed
SO_100187,CUST_0237,PROD_0282,2024-07-28,129,65145,Direct,Pending
SO_100188,CUST_0353,PROD_0150,2024-07-10,91,53781,Distributor,Cancelled
SO_100189,CUST_0286,PROD_0020,2024-03-26,483,292215,Distributor,Completed
SO_100190,CUST_0267,PROD_0270,2024-06-30,272,263568,Online,Pending
SO_100191,CUST_0191,PROD_0199,2024-03-03,103,93112,Direct,Cancelled
SO_100192,CUST_0221,PROD_0200,2024-08-21,470,181420,Direct,Completed
SO_100193,CUST_0336,PROD_0271,2024-09-14,92,91080,Direct,Cancelled
SO_100194,CUST_0485,PROD_0121,2024-05-22,483,332787,Distributor,Pending
SO_100195,CUST_0252,PROD_0018,2024-07-29,358,345112,Online,Cancelled
SO_100196,CUST_0029,PROD_0244,2024-07-06,207,79695,Direct,Pending
SO_100197,CUST_0194,PROD_0202,2024-01-31,496,351168,Direct,Completed
SO_100198,CUST_0379,PROD_0084,2024-02-16,338,62868,Direct,Completed
SO_100199,CUST_0411,PROD_0064,2024-09-28,74,10360,Direct,Completed
SO_100200,CUST_0346,PROD_0264,2024-05-06,340,285940,Distributor,Pending
SO_100201,CUST_0445,PROD_0282,2024-11-24,465,130665,Online,Completed
SO_100202,CUST_0126,PROD_0138,2024-09-18,165,79530,Online,Cancelled
SO_100203,CUST_0022,PROD_0130,2024-09-24,365,193815,Distributor,Pending
SO_100204,CUST_0006,PROD_0239,2024-12-15,254,106680,Direct,Cancelled
SO_100205,CUST_0230,PROD_0218,2024-04-04,485,122705,Distributor,Cancelled
SO_100206,CUST_0058,PROD_0218,2024-10-25,267,91848,Online,Cancelled
SO_100207,CUST_0208,PROD_0039,2024-10-23,399,73416,Distributor,Cancelled
SO_100208,CUST_0179,PROD_0050,2024-12-09,313,220039,Direct,Cancelled
SO_100209,CUST_0265,PROD_0265,2024-06-19,298,200256,Distributor,Completed
SO_100210,CUST_0284,PROD_0144,2024-12-14,346,230090,Distributor,Completed
SO_100211,CUST_0170,PROD_0003,2024-10-20,354,168858,Distributor,Pending
SO_100212,CUST_0493,PROD_0284,2024-03-22,273,232596,Distributor,Cancelled
SO_100213,CUST_0181,PROD_0146,2024-01-14,273,104013,Direct,Pending
SO_100214,CUST_0367,PROD_0271,2024-09-12,376,335016,Distributor,Cancelled
SO_100215,CUST_0324,PROD_0263,2024-01-17,50,40450,Direct,Completed
SO_100216,CUST_0458,PROD_0224,2024-12-23,287,144648,Direct,Pending
SO_100217,CUST_0407,PROD_0272,2024-05-31,197,137506,Online,Completed
SO_100218,CUST_0206,PROD_0052,2024-09-27,229,133965,Online,Cancelled
SO_100219,CUST_0189,PROD_0225,2024-09-02,124,15128,Online,Pending
SO_100220,CUST_0284,PROD_0021,2024-05-24,444,67932,Direct,Completed
SO_100221,CUST_0457,PROD_0055,2024-04-19,259,35483,Direct,Completed
SO_100222,CUST_0154,PROD_0298,2024-06-16,492,60024,Online,Completed
SO_100223,CUST_0081,PROD_0186,2024-06-18,151,135296,Direct,Cancelled
SO_100224,CUST_0123,PROD_0152,2024-03-13,100,15600,Distributor,Completed
SO_100225,CUST_0233,PROD_0021,2024-02-21,447,152427,Direct,Completed
SO_100226,CUST_0057,PROD_0183,2024-06-13,174,74298,Online,Pending
SO_100227,CUST_0322,PROD_0099,2024-07-14,119,68187,Distributor,Cancelled
SO_100228,CUST_0101,PROD_0280,2024-03-30,124,15500,Distributor,Pending
SO_100229,CUST_0384,PROD_0065,2024-10-26,145,65250,Online,Completed
SO_100230,CUST_0308,PROD_0134,2024-10-25,460,332120,Direct,Pending
SO_100231,CUST_0140,PROD_0199,2024-01-07,382,80984,Distributor,Completed
SO_100232,CUST_0010,PROD_0041,2024-08-14,347,157538,Direct,Cancelled
SO_100233,CUST_0127,PROD_0238,2024-07-24,319,153120,Direct,Completed
SO_100234,CUST_0444,PROD_0231,2024-07-07,350,40950,Online,Pending
SO_100235,CUST_0297,PROD_0029,2024-06-25,500,378500,Distributor,Pending
SO_100236,CUST_0055,PROD_0135,2024-12-14,260,169260,Online,Completed
SO_100237,CUST_0014,PROD_0105,2024-01-03,18,6120,Distributor,Cancelled
SO_100238,CUST_0269,PROD_0084,2024-02-21,162,69174,Direct,Cancelled
SO_100239,CUST_0408,PROD_0068,2024-03-10,316,80896,Direct,Cancelled
SO_100240,CUST_0471,PROD_0154,2024-12-08,77,19943,Distributor,Cancelled
SO_100241,CUST_0024,PROD_0082,2024-10-12,260,47060,Online,Completed
SO_100242,CUST_0080,PROD_0157,2024-11-07,440,71280,Direct,Completed
SO_100243,CUST_0151,PROD_0055,2024-06-23,176,87472,Online,Cancelled
SO_100244,CUST_0178,PROD_0199,2024-05-19,439,233987,Direct,Pending
SO_100245,CUST_0265,PROD_0012,2024-08-19,172,124872,Distributor,Pending
SO_100246,CUST_0415,PROD_0166,2024-01-26,289,217039,Direct,Completed
SO_100247,CUST_0457,PROD_0294,2024-04-19,491,438463,Distributor,Completed
SO_100248,CUST_0325,PROD_0229,2024-07-06,35,32165,Online,Completed
SO_100249,CUST_0142,PROD_0042,2024-02-27,270,134460,Online,Pending
SO_100250,CUST_0454,PROD_0291,2024-05-20,348,151380,Online,Cancelled
SO_100251,CUST_0220,PROD_0115,2024-10-26,400,248000,Direct,Completed
SO_100252,CUST_0301,PROD_0137,2024-06-05,26,6656,Distributor,Pending
SO_100253,CUST_0270,PROD_0242,2024-09-28,109,16023,Distributor,Pending
SO_100254,CUST_0408,PROD_0171,2024-08-23,380,209000,Direct,Completed
SO_100255,CUST_0207,PROD_0221,2024-08-18,213,118215,Online,Pending
SO_100256,CUST_0331,PROD_0076,2024-11-04,208,30160,Direct,Completed
SO_100257,CUST_0402,PROD_0037,2024-05-20,193,138188,Online,Completed
SO_100258,CUST_0288,PROD_0193,2024-12-23,77,34804,Direct,Cancelled
SO_100259,CUST_0427,PROD_0058,2024-02-03,180,23220,Distributor,Completed
SO_100260,CUST_0091,PROD_0178,2024-06-18,136,56848,Online,Completed
SO_100261,CUST_0060,PROD_0038,2024-08-06,68,65824,Distributor,Cancelled
SO_100262,CUST_0410,PROD_0027,2024-01-04,372,199392,Online,Cancelled
SO_100263,CUST_0207,PROD_0235,2024-02-10,143,122408,Distributor,Pending
SO_100264,CUST_0451,PROD_0138,2024-02-28,170,113560,Direct,Completed
SO_100265,CUST_0124,PROD_0076,2024-03-24,358,66588,Online,Completed
SO_100266,CUST_0027,PROD_0260,2024-03-05,215,34615,Online,Completed
SO_100267,CUST_0495,PROD_0231,2024-06-22,139,63940,Distributor,Cancelled
SO_100268,CUST_0224,PROD_0219,2024-04-06,433,161076,Direct,Completed
SO_100269,CUST_0489,PROD_0187,2024-03-02,128,55552,Online,Cancelled
SO_100270,CUST_0458,PROD_0297,2024-09-10,438,416100,Distributor,Completed
SO_100271,CUST_0005,PROD_0056,2024-02-13,122,43798,Distributor,Cancelled
SO_100272,CUST_0481,PROD_0148,2024-03-10,270,172530,Direct,Pending
SO_100273,CUST_0314,PROD_0008,2024-12-23,260,156520,Distributor,Pending
SO_100274,CUST_0116,PROD_0083,2024-09-19,61,42883,Distributor,Completed
SO_100275,CUST_0464,PROD_0212,2024-05-02,392,245784,Direct,Cancelled
SO_100276,CUST_0080,PROD_0078,2024-11-05,475,417050,Online,Completed
SO_100277,CUST_0256,PROD_0060,2024-10-01,107,12091,Distributor,Cancelled
SO_100278,CUST_0453,PROD_0029,2024-06-21,236,46256,Direct,Completed
SO_100279,CUST_0404,PROD_0088,2024-10-19,40,34760,Distributor,Cancelled
SO_100280,CUST_0047,PROD_0132,2024-03-13,335,38190,Direct,Completed
SO_100281,CUST_0249,PROD_0214,2024-02-21,242,41866,Online,Completed
SO_100282,CUST_0228,PROD_0208,2024-05-22,484,316052,Online,Cancelled
SO_100283,CUST_0324,PROD_0151,2024-12-21,82,36080,Online,Pending
SO_100284,CUST_0429,PROD_0119,2024-09-07,87,11223,Online,Completed
SO_100285,CUST_0361,PROD_0153,2024-07-19,81,34506,Online,Cancelled
SO_100286,CUST_0474,PROD_0273,2024-09-09,10,9920,Distributor,Pending
SO_100287,CUST_0480,PROD_0126,2024-08-21,440,102520,Direct,Cancelled
SO_100288,CUST_0045,PROD_0031,2024-01-03,191,180686,Direct,Pending
SO_100289,CUST_0437,PROD_0231,2024-05-17,121,91718,Direct,Pending
SO_100290,CUST_0388,PROD_0171,2024-06-03,243,225747,Direct,Completed
SO_100291,CUST_0060,PROD_0243,2024-04-15,306,197064,Online,Completed
SO_100292,CUST_0041,PROD_0297,2024-12-10,63,8946,Distributor,Pending
SO_100293,CUST_0471,PROD_0103,2024-07-01,276,156216,Distributor,Completed
SO_100294,CUST_0188,PROD_0259,2024-07-01,446,166804,Online,Cancelled
SO_100295,CUST_0346,PROD_0272,2024-06-02,145,33205,Direct,Pending
SO_100296,CUST_0487,PROD_0159,2024-07-28,492,173184,Online,Pending
SO_100297,CUST_0214,PROD_0270,2024-11-08,469,97552,Online,Pending
SO_100298,CUST_0346,PROD_0115,2024-03-12,453,438504,Distributor,Cancelled
SO_100299,CUST_0209,PROD_0036,2024-02-29,423,317250,Direct,Completed
SO_100300,CUST_0266,PROD_0294,2024-06-14,155,37045,Online,Completed
SO_100301,CUST_0323,PROD_0092,2024-01-01,399,243789,Online,Pending
SO_100302,CUST_0197,PROD_0112,2024-10-19,294,224616,Distributor,Pending
SO_100303,CUST_0094,PROD_0003,2024-09-01,433,405288,Direct,Cancelled
SO_100304,CUST_0327,PROD_0029,2024-09-23,365,122275,Online,Pending
SO_100305,CUST_0037,PROD_0206,2024-05-15,134,64052,Direct,Cancelled
SO_100306,CUST_0297,PROD_0194,2024-12-15,251,114205,Direct,Cancelled
SO_100307,CUST_0113,PROD_0184,2024-02-24,439,244523,Direct,Completed
SO_100308,CUST_0322,PROD_0185,2024-07-05,194,176540,Online,Pending
SO_100309,CUST_0053,PROD_0093,2024-05-09,153,57681,Online,Cancelled
SO_100310,CUST_0310,PROD_0010,2024-11-24,330,285450,Distributor,Completed
SO_100311,CUST_0169,PROD_0076,2024-05-11,342,107046,Online,Cancelled
SO_100312,CUST_0428,PROD_0279,2024-12-13,433,285780,Online,Cancelled
SO_100313,CUST_0158,PROD_0220,2024-04-02,394,386120,Online,Completed
SO_100314,CUST_0309,PROD_0200,2024-08-10,270,222480,Online,Pending
SO_100315,CUST_0347,PROD_0058,2024-12-06,33,17589,Direct,Pending
SO_100316,CUST_0411,PROD_0271,2024-07-28,169,44109,Distributor,Cancelled
SO_100317,CUST_0353,PROD_0117,2024-09-18,169,33462,Distributor,Pending
SO_100318,CUST_0386,PROD_0272,2024-09-05,477,254718,Direct,Pending
SO_100319,CUST_0024,PROD_0144,2024-10-21,245,174685,Distributor,Cancelled
SO_100320,CUST_0218,PROD_0024,2024-05-31,258,217494,Online,Pending
SO_100321,CUST_0365,PROD_0184,2024-12-29,210,114450,Direct,Cancelled
SO_100322,CUST_0277,PROD_0046,2024-05-22,42,30450,Online,Pending
SO_100323,CUST_0273,PROD_0231,2024-09-30,369,122508,Distributor,Completed
SO_100324,CUST_0169,PROD_0141,2024-08-08,371,241150,Direct,Cancelled
SO_100325,CUST_0255,PROD_0273,2024-12-31,466,298240,Direct,Completed
SO_100326,CUST_0345,PROD_0199,2024-11-30,497,457240,Online,Cancelled
SO_100327,CUST_0393,PROD_0277,2024-01-01,361,214073,Online,Pending
SO_100328,CUST_0055,PROD_0065,2024-04-20,331,45347,Online,Cancelled
SO_100329,CUST_0302,PROD_0245,2024-09-19,127,97917,Online,Completed
SO_100330,CUST_0493,PROD_0289,2024-07-19,274,38086,Distributor,Cancelled
SO_100331,CUST_0023,PROD_0125,2024-12-03,18,5454,Distributor,Cancelled
SO_100332,CUST_0164,PROD_0173,2024-02-12,261,109098,Online,Completed
SO_100333,CUST_0204,PROD_0116,2024-12-11,165,118635,Distributor,Pending
SO_100334,CUST_0109,PROD_0192,2024-09-10,389,71576,Direct,Completed
SO_100335,CUST_0350,PROD_0045,2024-03-03,385,343805,Online,Completed
SO_100336,CUST_0338,PROD_0269,2024-06-22,38,30552,Direct,Pending
SO_100337,CUST_0359,PROD_0025,2024-10-07,27,21249,Direct,Completed
SO_100338,CUST_0341,PROD_0267,2024-10-22,308,138908,Distributor,Completed
SO_100339,CUST_0381,PROD_0146,2024-07-13,77,49588,Online,Pending
SO_100340,CUST_0183,PROD_0140,2024-02-19,113,27120,Distributor,Completed
SO_100341,CUST_0337,PROD_0054,2024-02-04,67,18626,Online,Completed
