Shipment_ID,Sales_Order_ID,Warehouse_ID,Transport_Mode,Dispatch_Date,Delivery_Date,SLA_Days,Actual_Days,Delivery_Status,Distance_KM,Total_Shipping_Cost,Revenue,Profit
SHP_100050,SO_108993,WH_03,Air,19-04-2024,2024/04/29,3,10.0,Delayed,1228,8614.26,21796,13181.74
SHP_100051,SO_103110,WH_08,Sea,11-11-2024,2024/11/18,4,7.0,Delayed,3821,4236.87,20180,15943.13
SHP_100052,SO_100848,WH_04,Rail,20-09-2024,2024/09/23,5,3.0,On Time,1079,14099.72,37179,23079.28
SHP_100053,SO_100059,WH_04,Rail,22-11-2024,2024/11/27,4,5.0,Delayed,2828,9189.74,38827,29637.26
SHP_100054,SO_103455,WH_06,Road,21-11-2024,2024/11/24,6,3.0,On Time,3986,7025.1,25297,18271.9
SHP_100055,SO_100218,WH_09,Air,13-04-2024,2024/04/17,5,4.0,On Time,4270,5705.88,19401,13695.12
SHP_100056,SO_108350,WH_03,Rail,17-03-2024,2024/03/22,7,5.0,On Time,3416,5139.77,23252,18112.23
SHP_100057,SO_101848,WH_08,Air,31-10-2024,2024/11/05,4,5.0,Delayed,4672,7838.19,29148,21309.81
SHP_100058,SO_103883,WH_12,Rail,03-01-2024,2024/01/12,5,9.0,Delayed,4349,3178.67,12181,9002.33
SHP_100059,SO_106704,WH_15,Rail,03-07-2024,2024/07/11,5,8.0,Delayed,3862,3664.71,11832,8167.29
SHP_100060,SO_106701,WH_10,Road,11-12-2024,2024/12/14,4,3.0,On Time,629,5330.89,13873,8542.11
SHP_100061,SO_101261,WH_08,Road,15-09-2024,2024/09/25,5,10.0,Delayed,2102,12464.7,43706,31241.3
SHP_100062,SO_104930,WH_14,Sea,03-08-2024,2024/08/11,7,8.0,Delayed,2014,11478.47,45943,34464.53
SHP_100063,SO_101075,WH_14,Air,18-02-2024,2024/02/28,3,10.0,Delayed,4225,7939.26,26673,18733.74
SHP_100064,SO_100546,WH_01,Sea,16-12-2024,2024/12/26,5,10.0,Delayed,3550,3711.18,10060,6348.82
SHP_100065,SO_101971,WH_07,Air,25-11-2024,2024/11/27,5,2.0,On Time,3945,4946.38,13818,8871.62
SHP_100066,SO_109894,WH_04,Road,31-12-2024,2025/01/08,4,8.0,Delayed,3543,5297.52,15975,10677.48
SHP_100067,SO_107945,WH_01,Sea,10-08-2024,2024/08/14,4,4.0,On Time,2013,12885.03,40774,27888.97
SHP_100068,SO_109644,WH_04,Air,19-08-2024,2024/08/22,5,3.0,On Time,4478,5333.4,22699,17365.6
SHP_100069,SO_108491,WH_07,Rail,31-07-2024,2024/08/04,4,4.0,On Time,230,6991.38,33261,26269.62
SHP_100070,SO_105094,WH_12,Sea,15-07-2024,2024/07/21,3,6.0,Delayed,3654,1916.48,5806,3889.52
SHP_100071,SO_103799,WH_10,Air,29-03-2024,2024/04/04,7,6.0,On Time,3942,4515.62,20223,15707.38
SHP_100072,SO_109901,WH_10,Sea,25-09-2024,2024/09/27,3,2.0,On Time,1545,2973.2,8279,5305.8
SHP_100073,SO_109958,WH_06,Rail,04-05-2024,2024/05/12,3,8.0,Delayed,2476,2397.86,7923,5525.14
SHP_100074,SO_104006,WH_09,Sea,23-11-2024,2024/11/29,4,6.0,Delayed,722,8151.54,31924,23772.46
SHP_100075,SO_104902,WH_03,Air,10-12-2024,2024/12/13,6,3.0,On Time,2988,-3018.78,9393,12411.78
SHP_100076,SO_107905,WH_08,Road,24-06-2024,2024/07/01,4,7.0,Delayed,2118,7064.49,22045,14980.51
SHP_100077,SO_100759,WH_02,Air,04-01-2024,2024/01/11,4,,Delayed,4244,9695.26,31270,21574.74
SHP_100078,SO_104920,WH_10,Air,27-12-2024,2025/01/05,3,9.0,Delayed,3297,5055.69,16888,11832.31
SHP_100079,SO_101213,WH_10,Rail,04-01-2024,2024/01/06,5,2.0,On Time,1698,14807.72,41554,26746.28
SHP_100080,SO_101157,WH_05,Air,28-05-2024,2024/05/30,7,2.0,On Time,695,6932.88,30023,23090.12
SHP_100081,SO_106873,WH_03,Rail,19-05-2024,2024/05/25,4,6.0,Delayed,4254,2859.0,12080,9221.0
SHP_100082,SO_106992,WH_06,Air,27-09-2024,2024/10/07,7,10.0,Delayed,2431,7585.2,25102,17516.8
SHP_100083,SO_103392,WH_10,Air,29-09-2024,2024/10/05,4,6.0,Delayed,2896,7049.92,32721,25671.08
SHP_100084,SO_105702,WH_01,Road,15-10-2024,2024/10/25,4,10.0,Delayed,2605,5716.6,17161,11444.4
SHP_100085,SO_103077,WH_12,Sea,17-12-2024,2024/12/22,7,5.0,On Time,4656,-12332.4,32831,45163.4
SHP_100086,SO_109348,WH_11,Road,17-06-2024,2024/06/25,4,8.0,Delayed,2970,10177.88,31996,21818.12
SHP_100087,SO_106648,WH_07,Sea,27-05-2024,2024/06/04,4,8.0,Delayed,1040,9301.73,40148,30846.27
SHP_100088,SO_109527,WH_06,Air,31-08-2024,2024/09/07,7,7.0,On Time,3527,8988.16,29210,20221.84
SHP_100089,SO_104678,WH_09,Sea,25-01-2024,2024/01/31,7,6.0,On Time,841,4434.89,18064,13629.11
SHP_100090,SO_101625,WH_02,Sea,08-10-2024,2024/10/10,6,2.0,On Time,267,1170.33,5281,4110.67
SHP_100091,SO_109457,WH_02,Road,18-07-2024,2024/07/24,6,6.0,On Time,1661,2400.73,7087,4686.27
SHP_100092,SO_108223,WH_03,Road,14-12-2024,2024/12/16,5,2.0,On Time,1355,-18905.81,49187,68092.81
SHP_100093,SO_104703,WH_07,Sea,17-04-2024,2024/04/19,5,2.0,On Time,3981,7469.84,25151,17681.16
SHP_100094,SO_101013,WH_09,Rail,06-08-2024,2024/08/08,7,2.0,On Time,3011,5314.96,25929,20614.04
SHP_100095,SO_103642,WH_02,Air,07-02-2024,2024/02/10,6,3.0,On Time,4707,5082.76,21137,16054.24
SHP_100096,SO_104826,WH_05,Air,26-08-2024,2024/08/28,7,2.0,On Time,4742,4311.59,17659,13347.41
SHP_100097,SO_101557,WH_03,Rail,20-03-2024,2024/03/29,6,9.0,Delayed,2501,2450.18,8064,5613.82
SHP_100098,SO_104973,WH_04,Rail,12-05-2024,2024/05/17,5,5.0,On Time,752,4532.63,14874,10341.37
SHP_100099,SO_101869,WH_14,Road,01-08-2024,2024/08/06,3,5.0,Delayed,1087,2363.99,11448,9084.01
SHP_100100,SO_107518,WH_15,Road,13-12-2024,2024/12/15,5,2.0,On Time,2932,2467.52,11046,8578.48
SHP_100101,SO_103384,WH_11,Air,08-12-2024,2024/12/15,3,7.0,Delayed,4606,2336.92,7250,4913.08
SHP_100102,SO_109469,WH_06,Rail,09-11-2024,2024/11/13,3,4.0,Delayed,4144,10973.31,39652,28678.69
SHP_100103,SO_108825,WH_09,Sea,10-08-2024,2024/08/19,5,9.0,Delayed,4258,5303.7,14505,9201.3
SHP_100104,SO_105959,WH_06,Sea,06-07-2024,2024/07/10,6,4.0,On Time,1051,6315.87,19998,13682.13
SHP_100105,SO_100000,WH_09,Sea,27-03-2024,2024/04/01,4,5.0,Delayed,4972,8767.8,25799,17031.2
SHP_100106,SO_104143,WH_12,Road,13-10-2024,2024/10/21,7,8.0,Delayed,4762,14070.46,35832,21761.54
SHP_100107,SO_108470,WH_12,Sea,20-07-2024,2024/07/22,5,2.0,On Time,2175,11956.35,34020,22063.65
SHP_100108,SO_101877,WH_03,Sea,11-04-2024,2024/04/16,4,5.0,Delayed,578,10750.76,47031,36280.24
SHP_100109,SO_104906,WH_12,Air,15-09-2024,2024/09/22,6,7.0,Delayed,3329,5474.65,18235,12760.35
SHP_100110,SO_109492,WH_12,Rail,03-11-2024,2024/11/12,4,9.0,Delayed,4011,6145.93,21088,14942.07
SHP_100111,SO_105628,WH_10,Air,13-12-2024,2024/12/20,3,7.0,Delayed,739,3594.69,12509,8914.31
SHP_100112,SO_100297,WH_06,Air,17-10-2024,2024/10/25,4,8.0,Delayed,4274,4574.8,20531,15956.2
SHP_100113,SO_104234,WH_11,Road,07-10-2024,2024/10/09,5,2.0,On Time,2319,5098.9,12965,7866.1
SHP_100114,SO_101689,WH_03,Sea,18-10-2024,2024/10/21,7,3.0,On Time,1206,12073.81,40878,28804.19
SHP_100115,SO_108999,WH_13,Air,04-08-2024,2024/08/14,5,10.0,Delayed,1287,3847.4,11906,8058.6
SHP_100116,SO_100445,WH_07,Rail,30-08-2024,2024/09/02,4,3.0,On Time,3787,8289.01,31243,22953.99
SHP_100117,SO_106516,WH_07,Rail,08-07-2024,2024/07/15,4,7.0,Delayed,913,9099.39,41633,32533.61
SHP_100118,SO_102803,WH_08,Road,31-08-2024,2024/09/03,7,3.0,On Time,4915,4067.28,16701,12633.72
SHP_100119,SO_108152,WH_12,Road,02-01-2024,2024/01/04,3,2.0,On Time,2169,8164.59,30571,22406.41
SHP_100120,SO_109944,WH_04,Sea,26-09-2024,2024/10/02,4,6.0,Delayed,2198,8390.34,24681,16290.66
SHP_100121,SO_109534,WH_08,Sea,02-09-2024,2024/09/07,3,5.0,Delayed,3926,5141.03,16754,11612.97
SHP_100122,SO_105866,WH_01,Air,24-11-2024,2024/11/28,3,4.0,Delayed,542,15810.5,44634,28823.5
SHP_100123,SO_103645,WH_10,Sea,05-10-2024,2024/10/11,3,6.0,Delayed,2347,4228.15,13116,8887.85
SHP_100124,SO_102190,WH_07,Sea,12-07-2024,2024/07/14,3,2.0,On Time,2915,8543.51,31160,22616.49
SHP_100125,SO_106874,WH_07,Rail,17-06-2024,2024/06/26,5,9.0,Delayed,546,12184.5,48510,36325.5
SHP_100126,SO_109967,WH_10,Road,25-05-2024,2024/05/29,4,4.0,On Time,4222,3600.09,10714,7113.91
SHP_100127,SO_108334,WH_11,Road,05-06-2024,2024/06/11,4,6.0,Delayed,4855,8005.17,39347,31341.83
SHP_100128,SO_107825,WH_07,Road,01-03-2024,2024/03/08,3,7.0,Delayed,505,16123.75,48924,32800.25
SHP_100129,SO_105685,WH_14,Sea,05-06-2024,2024/06/13,5,8.0,Delayed,327,13834.52,46523,32688.48
SHP_100130,SO_100915,WH_02,Sea,12-12-2024,2024/12/20,7,8.0,Delayed,2580,12099.31,31781,19681.69
SHP_100131,SO_100913,WH_12,Road,08-03-2024,2024/03/17,7,9.0,Delayed,4653,8423.97,38980,30556.03
SHP_100132,SO_105917,WH_06,Air,24-02-2024,2024/03/01,6,6.0,On Time,1835,2400.17,6576,4175.83
SHP_100133,SO_108681,WH_03,Road,19-10-2024,2024/10/23,6,4.0,On Time,2273,16204.39,46093,29888.61
SHP_100134,SO_107899,WH_06,Rail,02-03-2024,2024/03/12,5,10.0,Delayed,1925,4092.6,16776,12683.4
SHP_100135,SO_106881,WH_13,Sea,17-06-2024,2024/06/20,5,3.0,On Time,1438,12414.04,42209,29794.96
SHP_100136,SO_106432,WH_13,Road,14-03-2024,2024/03/24,7,10.0,Delayed,2229,11260.55,41255,29994.45
SHP_100137,SO_109700,WH_15,Road,04-01-2024,2024/01/07,3,3.0,On Time,3715,15312.1,41672,26359.9
SHP_100138,SO_109162,WH_10,Road,24-03-2024,2024/03/26,7,2.0,On Time,2536,12109.93,41836,29726.07
SHP_100139,SO_109675,WH_05,Road,26-06-2024,2024/07/04,3,8.0,Delayed,1824,10496.86,49342,38845.14
SHP_100140,SO_108003,WH_07,Rail,10-03-2024,2024/03/14,7,4.0,On Time,4215,12780.75,33470,20689.25
SHP_100141,SO_101636,WH_04,Road,23-11-2024,2024/11/30,6,7.0,Delayed,1371,14335.28,42497,28161.72
SHP_100142,SO_103974,WH_07,Road,10-12-2024,2024/12/12,3,2.0,On Time,4903,7055.31,32798,25742.69
SHP_100143,SO_107380,WH_06,Sea,19-03-2024,2024/03/22,3,3.0,On Time,3766,17369.69,43568,26198.31
SHP_100144,SO_101228,WH_04,Road,06-08-2024,2024/08/09,3,3.0,On Time,2740,13878.4,35050,21171.6
SHP_100145,SO_103464,WH_02,Rail,15-01-2024,2024/01/22,5,7.0,Delayed,567,15284.89,41030,25745.11
SHP_100146,SO_105343,WH_04,Road,17-08-2024,2024/08/25,7,8.0,Delayed,1499,2946.66,13881,10934.34
SHP_100147,SO_103595,WH_12,Sea,20-11-2024,2024/11/24,4,4.0,On Time,3197,8085.31,24670,16584.69
SHP_100148,SO_102394,WH_06,Sea,13-01-2024,2024/01/19,5,6.0,Delayed,4110,1974.62,8587,6612.38
SHP_100149,SO_101432,WH_12,Sea,24-11-2024,2024/12/03,7,9.0,Delayed,1733,6352.7,23192,16839.3
SHP_100150,SO_105682,WH_14,Road,12-01-2024,2024/01/15,3,3.0,On Time,1100,1604.66,6779,5174.34
SHP_100151,SO_108951,WH_13,Rail,05-01-2024,2024/01/14,5,9.0,Delayed,4010,13876.57,49919,36042.43
SHP_100152,SO_108064,WH_12,Rail,04-01-2024,2024/01/10,4,6.0,Delayed,1688,6299.56,19082,12782.44
SHP_100153,SO_102494,WH_11,Road,12-06-2024,2024/06/18,3,6.0,Delayed,1525,10918.7,44056,33137.3
SHP_100154,SO_104450,WH_05,Air,23-04-2024,2024/04/29,3,6.0,Delayed,2727,8964.22,25367,16402.78
SHP_100155,SO_105369,WH_07,Sea,22-03-2024,2024/03/30,4,8.0,Delayed,2971,9267.47,31578,22310.53
SHP_100156,SO_106664,WH_11,Air,14-02-2024,2024/02/20,5,6.0,Delayed,2210,6224.79,24143,17918.21
SHP_100157,SO_106691,WH_11,Sea,20-12-2024,2024/12/23,5,3.0,On Time,4625,3348.63,11825,8476.37
SHP_100158,SO_108805,WH_09,Sea,16-02-2024,2024/02/26,7,10.0,Delayed,207,9046.25,23086,14039.75
SHP_100159,SO_104522,WH_07,Sea,24-12-2024,2024/12/26,7,2.0,On Time,3543,2295.8,5772,3476.2
SHP_100160,SO_104639,WH_08,Rail,21-09-2024,2024/09/25,4,4.0,On Time,4021,11790.71,41938,30147.29
SHP_100161,SO_100073,WH_15,Rail,16-09-2024,2024/09/24,4,8.0,Delayed,4161,17648.75,47589,29940.25
SHP_100162,SO_108966,WH_07,Sea,25-08-2024,2024/08/30,3,5.0,Delayed,2833,11948.74,36617,24668.26
SHP_100163,SO_106241,WH_03,Sea,18-10-2024,2024/10/20,5,2.0,On Time,3371,8924.22,24117,15192.78
SHP_100164,SO_104207,WH_12,Rail,03-01-2024,2024/01/08,3,5.0,Delayed,1388,9604.18,45876,36271.82
SHP_100165,SO_104725,WH_12,Road,30-12-2024,2025/01/04,4,5.0,Delayed,2005,15292.91,48352,33059.09
SHP_100166,SO_105851,WH_03,Sea,08-02-2024,2024/02/18,5,10.0,Delayed,2672,10764.53,32631,21866.47
SHP_100167,SO_100997,WH_09,Road,22-03-2024,2024/03/30,7,8.0,Delayed,470,4866.72,13396,8529.28
SHP_100168,SO_109979,WH_06,Air,26-02-2024,2024/03/06,6,9.0,Delayed,632,6774.77,19268,12493.23
SHP_100169,SO_101216,WH_13,Road,09-10-2024,2024/10/19,6,10.0,Delayed,4341,9567.01,39668,30100.99
SHP_100170,SO_105166,WH_15,Sea,09-12-2024,2024/12/18,3,9.0,Delayed,965,17303.69,47039,29735.31
SHP_100171,SO_108700,WH_02,Road,17-07-2024,2024/07/24,6,7.0,Delayed,3268,2961.17,9993,7031.83
SHP_100172,SO_104569,WH_04,Air,02-12-2024,2024/12/04,4,2.0,On Time,4673,4992.96,16856,11863.04
SHP_100173,SO_102051,WH_09,Sea,07-11-2024,2024/11/13,6,6.0,On Time,3011,7370.94,35190,27819.06
SHP_100174,SO_106388,WH_11,Road,25-04-2024,2024/05/01,5,6.0,Delayed,1206,7126.75,27636,20509.25
SHP_100175,SO_107147,WH_14,Road,13-08-2024,2024/08/21,5,8.0,Delayed,1322,5817.84,17384,11566.16
SHP_100176,SO_104297,WH_13,Road,18-02-2024,2024/02/21,3,3.0,On Time,359,3391.43,9855,6463.57
SHP_100177,SO_106766,WH_09,Sea,29-07-2024,2024/08/08,4,10.0,Delayed,4748,10910.28,28083,17172.72
SHP_100178,SO_106417,WH_04,Sea,29-03-2024,2024/04/03,3,5.0,Delayed,2025,17139.77,45710,28570.23
SHP_100179,SO_102878,WH_03,Sea,17-02-2024,2024/02/19,3,2.0,On Time,2676,2948.33,12684,9735.67
SHP_100180,SO_104032,WH_01,Sea,18-05-2024,2024/05/21,6,3.0,On Time,2733,8389.13,26285,17895.87
SHP_100181,SO_102223,WH_09,Road,12-04-2024,2024/04/16,4,4.0,On Time,200,10056.31,34434,24377.69
SHP_100182,SO_102193,WH_13,Sea,11-12-2024,2024/12/18,3,7.0,Delayed,972,13404.33,34559,21154.67
SHP_100183,SO_103290,WH_01,Air,20-04-2024,2024/04/22,4,2.0,On Time,3417,7412.16,32380,24967.84
SHP_100184,SO_109588,WH_02,Air,23-04-2024,2024/04/29,5,6.0,Delayed,1790,8408.39,25263,16854.61
SHP_100185,SO_103793,WH_10,Road,15-07-2024,2024/07/25,5,10.0,Delayed,2015,7037.82,20395,13357.18
SHP_100186,SO_106577,WH_15,Air,07-08-2024,2024/08/15,5,8.0,Delayed,783,14934.0,46000,31066.0
SHP_100187,SO_106696,WH_01,Sea,18-01-2024,2024/01/27,4,9.0,Delayed,373,10830.35,35877,25046.65
SHP_100188,SO_106647,WH_05,Rail,29-04-2024,2024/05/09,6,10.0,Delayed,1137,2780.41,13359,10578.59
SHP_100189,SO_102750,WH_08,Road,16-03-2024,2024/03/26,7,10.0,Delayed,945,7651.92,26479,18827.08
SHP_100190,SO_102420,WH_10,Sea,20-07-2024,2024/07/24,7,4.0,On Time,4536,2777.58,13097,10319.42
SHP_100191,SO_101025,WH_02,Rail,20-05-2024,2024/05/27,5,7.0,Delayed,1449,12633.08,40294,27660.92
SHP_100192,SO_103102,WH_14,Road,03-05-2024,2024/05/11,7,8.0,Delayed,2241,9240.71,29558,20317.29
SHP_100193,SO_104930,WH_02,Rail,27-04-2024,2024/05/05,6,8.0,Delayed,2337,6181.24,25022,18840.76
SHP_100194,SO_100256,WH_08,Rail,05-10-2024,2024/10/09,4,4.0,On Time,1188,3377.11,10479,7101.89
SHP_100195,SO_101989,WH_10,Rail,09-12-2024,2024/12/13,6,4.0,On Time,805,8785.72,27662,18876.28
SHP_100196,SO_101102,WH_03,Road,09-07-2024,2024/07/19,5,10.0,Delayed,2726,14972.2,38352,23379.8
SHP_100197,SO_106553,WH_06,Sea,27-04-2024,2024/05/06,3,9.0,Delayed,4965,4783.67,15801,11017.33
SHP_100198,SO_107585,WH_15,Rail,26-10-2024,2024/10/31,3,5.0,Delayed,243,5943.32,17087,11143.68
SHP_100199,SO_104849,WH_09,Sea,19-04-2024,2024/04/29,7,10.0,Delayed,4986,5298.0,14914,9616.0
SHP_100200,SO_101264,WH_09,Air,14-12-2024,2024/12/21,5,7.0,Delayed,3735,11588.73,31429,19840.27
SHP_100201,SO_103044,WH_04,Sea,12-11-2024,2024/11/16,5,4.0,On Time,1236,1815.69,6573,4757.31
SHP_100202,SO_100108,WH_09,Sea,11-10-2024,2024/10/15,3,4.0,Delayed,2322,12675.98,49194,36518.02
SHP_100203,SO_107596,WH_08,Sea,08-10-2024,2024/10/15,4,7.0,Delayed,1107,5263.19,14624,9360.81
SHP_100204,SO_102793,WH_10,Road,17-09-2024,2024/09/25,3,8.0,Delayed,1218,2172.87,6459,4286.13
SHP_100205,SO_107991,WH_11,Rail,16-09-2024,2024/09/21,5,5.0,On Time,3935,6008.95,19840,13831.05
SHP_100206,SO_100269,WH_10,Rail,15-10-2024,2024/10/25,7,10.0,Delayed,1063,6124.81,24843,18718.19
SHP_100207,SO_100923,WH_09,Air,25-09-2024,2024/09/28,7,3.0,On Time,4577,16982.31,45999,29016.69
SHP_100208,SO_109735,WH_02,Rail,09-06-2024,2024/06/11,4,2.0,On Time,2996,8969.67,27838,18868.33
SHP_100209,SO_108171,WH_04,Sea,06-01-2024,2024/01/15,5,9.0,Delayed,697,11353.97,34279,22925.03
SHP_100210,SO_105272,WH_14,Air,10-01-2024,2024/01/13,5,3.0,On Time,744,6404.96,25160,18755.04
SHP_100211,SO_103714,WH_07,Sea,17-07-2024,2024/07/23,3,6.0,Delayed,1363,6231.5,24365,18133.5
SHP_100212,SO_105052,WH_09,Sea,29-04-2024,2024/05/01,3,2.0,On Time,2023,14388.78,38454,24065.22
SHP_100213,SO_106507,WH_10,Rail,29-09-2024,2024/10/06,5,7.0,Delayed,4476,5377.52,19378,14000.48
SHP_100214,SO_106272,WH_10,Sea,05-08-2024,2024/08/12,4,7.0,Delayed,3181,3512.4,12299,8786.6
SHP_100215,SO_109695,WH_01,Rail,18-06-2024,2024/06/21,5,3.0,On Time,2083,2256.75,6017,3760.25
SHP_100216,SO_100940,WH_13,Rail,26-05-2024,2024/06/04,7,9.0,Delayed,4095,18394.74,46427,28032.26
SHP_100217,SO_109808,WH_04,Sea,03-02-2024,2024/02/08,3,5.0,Delayed,4751,16833.79,45459,28625.21
SHP_100218,SO_109634,WH_11,Sea,19-10-2024,2024/10/23,3,4.0,Delayed,2668,4125.99,13233,9107.01
SHP_100219,SO_106671,WH_15,Air,19-05-2024,2024/05/28,5,9.0,Delayed,3244,1609.42,7696,6086.58
SHP_100220,SO_107292,WH_05,Rail,21-02-2024,2024/02/26,5,5.0,On Time,2893,1368.76,6207,4838.24
SHP_100221,SO_105516,WH_11,Air,05-02-2024,2024/02/09,6,4.0,On Time,2635,6653.6,25178,18524.4
