Inventory_ID,Warehouse_ID,Product_ID,Inventory_Date,Opening_Stock,Inbound_Qty,Outbound_Qty,Closing_Stock,Storage_Cost
INV_100094,WH_04,PROD_0033,25/04/2024,2562,1036,1022,2576.0,1872.46
INV_100095,WH_04,PROD_0149,25/11/2024,2151,868,302,2717.0,2221.53
INV_100096,WH_11,PROD_0048,23/06/2024,2967,1190,884,3273.0,2250.47
INV_100097,WH_04,PROD_0107,11/05/2024,3552,1083,561,4074.0,5685.95
INV_100098,WH_13,PROD_0198,26/03/2024,1029,879,123,1785.0,1933.13
INV_100099,WH_01,PROD_0040,22/05/2024,4446,168,1337,3277.0,2095.52
INV_100100,WH_14,PROD_0088,26/07/2024,3089,845,1414,2520.0,1850.7
INV_100101,WH_01,PROD_0043,07/05/2024,2637,210,780,2067.0,1882.79
INV_100102,WH_09,PROD_0140,25/12/2024,1896,629,1329,1196.0,1734.83
INV_100103,WH_07,PROD_0211,19/12/2024,3203,1047,277,3973.0,4244.56
INV_100104,WH_06,PROD_0030,13/05/2024,1152,697,1301,548.0,496.9
INV_100105,WH_03,PROD_0252,27/02/2024,3782,317,1079,3020.0,4267.22
INV_100106,WH_07,PROD_0124,08/01/2024,4527,321,274,4574.0,4204.98
INV_100107,WH_12,PROD_0223,25/11/2024,908,935,1480,363.0,212.13
INV_100108,WH_14,PROD_0298,11/10/2024,1289,470,334,1425.0,1840.62
INV_100109,WH_14,PROD_0266,01/05/2024,4250,621,955,3916.0,3221.6
INV_100110,WH_14,PROD_0098,24/05/2024,3611,262,373,3500.0,4599.33
INV_100111,WH_07,PROD_0105,15/04/2024,4000,337,259,4078.0,4461.28
INV_100112,WH_07,PROD_0178,23/09/2024,2073,177,1290,,0.0
INV_100113,WH_01,PROD_0004,22/10/2024,1743,1249,569,2423.0,3151.77
INV_100114,WH_02,PROD_0284,01/08/2024,3662,555,719,3498.0,5051.62
INV_100115,WH_07,PROD_0045,11/08/2024,3440,750,1291,2899.0,3415.67
INV_100116,WH_09,PROD_0284,02/11/2024,1161,645,1267,,0.0
INV_100117,WH_04,PROD_0007,10/10/2024,1536,229,450,1315.0,1584.18
INV_100118,WH_04,PROD_0196,22/06/2024,4264,545,979,3830.0,3498.23
INV_100119,WH_13,PROD_0132,02/04/2024,3563,924,1303,3184.0,1692.48
INV_100120,WH_11,PROD_0163,04/01/2024,3179,1234,414,3999.0,5598.47
INV_100121,WH_13,PROD_0196,18/08/2024,2982,688,963,2707.0,1444.49
INV_100122,WH_15,PROD_0283,14/09/2024,3921,395,1473,2843.0,3437.18
INV_100123,WH_11,PROD_0037,26/07/2024,3422,1215,723,3914.0,5843.22
INV_100124,WH_15,PROD_0144,28/05/2024,3429,1171,709,3891.0,2386.06
INV_100125,WH_06,PROD_0226,22/04/2024,4812,876,137,5551.0,6344.57
INV_100126,WH_13,PROD_0174,07/01/2024,2749,1338,1257,2830.0,2024.96
INV_100127,WH_05,PROD_0138,29/12/2024,4750,523,1132,4141.0,4475.34
INV_100128,WH_15,PROD_0163,11/05/2024,984,117,1326,-225.0,-147.66
INV_100129,WH_14,PROD_0082,17/04/2024,1169,1244,718,1695.0,1989.13
INV_100130,WH_09,PROD_0238,27/05/2024,535,1065,663,937.0,1264.23
INV_100131,WH_14,PROD_0004,04/03/2024,3378,484,646,3216.0,1785.62
INV_100132,WH_14,PROD_0025,16/03/2024,4308,1429,693,5044.0,6230.43
INV_100133,WH_06,PROD_0298,22/08/2024,3551,1109,489,4171.0,4700.55
INV_100134,WH_07,PROD_0228,30/05/2024,4930,221,718,4433.0,4061.4
INV_100135,WH_02,PROD_0193,08/06/2024,2916,1339,611,3644.0,4729.29
INV_100136,WH_11,PROD_0015,07/02/2024,4688,1089,626,5151.0,6181.54
INV_100137,WH_14,PROD_0257,16/12/2024,4308,421,558,4171.0,3469.17
INV_100138,WH_07,PROD_0223,28/07/2024,4235,1252,1155,,0.0
INV_100139,WH_06,PROD_0115,17/01/2024,1705,643,1157,1191.0,888.6
INV_100140,WH_08,PROD_0106,13/01/2024,4002,1228,975,4255.0,3204.95
INV_100141,WH_06,PROD_0109,11/07/2024,934,1450,115,2269.0,1924.1
INV_100142,WH_10,PROD_0094,30/07/2024,4074,1062,508,4628.0,4648.84
INV_100143,WH_03,PROD_0264,04/10/2024,4531,888,246,5173.0,3980.07
INV_100144,WH_11,PROD_0119,03/08/2024,1396,737,360,1773.0,919.2
INV_100145,WH_12,PROD_0285,18/09/2024,1889,1230,987,2132.0,2127.52
INV_100146,WH_04,PROD_0192,30/10/2024,3090,1113,1188,3015.0,4072.14
INV_100147,WH_03,PROD_0257,08/12/2024,2884,941,595,3230.0,2810.52
INV_100148,WH_13,PROD_0219,20/03/2024,2387,818,1065,2140.0,3079.72
INV_100149,WH_04,PROD_0169,31/12/2024,3988,935,798,4125.0,4526.47
INV_100150,WH_10,PROD_0261,24/01/2024,3614,762,829,3547.0,4486.25
INV_100151,WH_13,PROD_0200,20/07/2024,1153,1121,920,1354.0,1842.39
INV_100152,WH_11,PROD_0103,10/01/2024,4592,355,756,4191.0,4751.87
INV_100153,WH_13,PROD_0231,15/11/2024,4092,847,1274,3665.0,3513.98
INV_100154,WH_01,PROD_0010,28/03/2024,3637,879,1248,,0.0
INV_100155,WH_07,PROD_0170,06/02/2024,1277,589,1052,814.0,1202.4
INV_100156,WH_10,PROD_0297,12/03/2024,3155,740,1248,2647.0,3648.29
INV_100157,WH_01,PROD_0093,19/12/2024,1568,604,640,1532.0,895.54
INV_100158,WH_14,PROD_0219,15/11/2024,995,920,686,1229.0,1585.24
INV_100159,WH_14,PROD_0233,03/12/2024,4098,1037,1283,3852.0,5764.69
INV_100160,WH_15,PROD_0023,27/06/2024,2848,1316,432,3732.0,2009.96
INV_100161,WH_04,PROD_0194,23/10/2024,1341,1246,457,2130.0,2674.74
INV_100162,WH_12,PROD_0220,02/09/2024,1931,316,1344,903.0,1095.59
INV_100163,WH_07,PROD_0295,21/05/2024,4292,269,160,4401.0,4172.34
INV_100164,WH_04,PROD_0072,25/08/2024,2527,1228,212,3543.0,5175.31
INV_100165,WH_13,PROD_0182,10/12/2024,4952,310,1063,4199.0,2836.18
INV_100166,WH_04,PROD_0016,20/11/2024,4711,987,1278,,0.0
INV_100167,WH_15,PROD_0227,11/11/2024,3326,297,450,3173.0,3727.95
INV_100168,WH_02,PROD_0127,03/09/2024,1335,948,1039,1244.0,1786.72
INV_100169,WH_14,PROD_0063,19/02/2024,815,309,1131,-7.0,-3.66
INV_100170,WH_03,PROD_0253,20/09/2024,4138,512,819,3831.0,2897.6
INV_100171,WH_02,PROD_0002,08/07/2024,1483,393,1007,869.0,1209.21
INV_100172,WH_04,PROD_0158,10/11/2024,2291,1473,1125,2639.0,3107.81
INV_100173,WH_14,PROD_0140,25/02/2024,4154,1476,1051,4579.0,3878.48
INV_100174,WH_12,PROD_0266,12/01/2024,3668,1074,1313,3429.0,3450.05
INV_100175,WH_06,PROD_0296,20/10/2024,4992,709,1053,4648.0,4191.16
INV_100176,WH_07,PROD_0038,20/12/2024,1855,609,503,1961.0,1898.15
INV_100177,WH_14,PROD_0081,31/01/2024,1299,1106,1076,1329.0,938.41
INV_100178,WH_02,PROD_0278,11/11/2024,4877,989,629,5237.0,6204.35
INV_100179,WH_10,PROD_0293,12/04/2024,4208,653,1064,3797.0,3898.58
INV_100180,WH_09,PROD_0212,06/05/2024,3800,1155,614,4341.0,4587.16
INV_100181,WH_02,PROD_0211,30/09/2024,2711,899,1321,2289.0,1948.69
INV_100182,WH_08,PROD_0241,19/04/2024,3371,236,558,3049.0,1766.88
INV_100183,WH_15,PROD_0001,22/05/2024,1547,1197,276,2468.0,3300.31
INV_100184,WH_03,PROD_0054,29/12/2024,3826,1410,293,4943.0,4082.71
INV_100185,WH_15,PROD_0147,23/06/2024,1465,1488,892,2061.0,1207.27
INV_100186,WH_10,PROD_0039,09/04/2024,1821,1217,793,2245.0,2829.91
INV_100187,WH_12,PROD_0255,14/11/2024,4611,1326,1158,4779.0,7090.38
INV_100188,WH_09,PROD_0229,14/03/2024,1325,344,768,901.0,1178.8
INV_100189,WH_01,PROD_0210,28/08/2024,4820,531,692,4659.0,6350.99
INV_100190,WH_04,PROD_0269,07/10/2024,1035,909,1101,843.0,937.03
INV_100191,WH_08,PROD_0200,28/09/2024,2255,1335,1382,2208.0,2278.22
INV_100192,WH_03,PROD_0141,10/04/2024,4693,1363,1341,4715.0,6253.7
INV_100193,WH_13,PROD_0109,10/08/2024,1524,734,1408,850.0,1055.77
INV_100194,WH_06,PROD_0213,03/05/2024,3256,359,515,3100.0,4640.84
INV_100195,WH_15,PROD_0262,14/12/2024,1323,132,1459,-4.0,-4.26
INV_100196,WH_12,PROD_0214,08/02/2024,4130,490,515,4105.0,5261.48
INV_100197,WH_08,PROD_0040,21/10/2024,574,1190,783,981.0,857.55
INV_100198,WH_12,PROD_0234,18/08/2024,2374,817,530,,0.0
INV_100199,WH_11,PROD_0101,29/05/2024,1477,1152,1055,1574.0,1280.0
INV_100200,WH_10,PROD_0291,26/12/2024,4487,1150,643,4994.0,6245.74
INV_100201,WH_02,PROD_0067,06/04/2024,2875,341,541,2675.0,3159.2
INV_100202,WH_15,PROD_0289,08/09/2024,2630,934,1396,2168.0,2980.47
INV_100203,WH_03,PROD_0144,07/09/2024,2351,1006,201,3156.0,4730.9
INV_100204,WH_09,PROD_0124,27/11/2024,989,288,197,1080.0,1433.84
INV_100205,WH_08,PROD_0240,26/11/2024,2307,271,265,2313.0,1743.46
INV_100206,WH_11,PROD_0220,07/12/2024,2589,795,454,2930.0,3233.08
INV_100207,WH_03,PROD_0261,31/03/2024,3630,475,1441,2664.0,1870.98
INV_100208,WH_09,PROD_0128,15/02/2024,4068,923,548,4443.0,3211.04
INV_100209,WH_11,PROD_0105,20/12/2024,4013,962,1091,3884.0,3837.82
INV_100210,WH_14,PROD_0115,12/04/2024,3859,1235,1255,3839.0,4076.64
INV_100211,WH_05,PROD_0279,18/03/2024,4009,636,1464,3181.0,3002.26
INV_100212,WH_11,PROD_0051,31/07/2024,3462,629,1225,2866.0,2572.5
INV_100213,WH_14,PROD_0050,14/01/2024,2774,1253,1162,2865.0,2908.3
INV_100214,WH_11,PROD_0076,13/11/2024,1833,1366,987,2212.0,1387.61
INV_100215,WH_08,PROD_0077,25/02/2024,3350,1323,223,4450.0,6183.16
INV_100216,WH_13,PROD_0173,16/03/2024,3317,870,585,3602.0,3147.41
INV_100217,WH_11,PROD_0262,07/03/2024,4674,1500,1125,5049.0,7029.74
INV_100218,WH_14,PROD_0109,13/09/2024,1665,1446,691,2420.0,1487.63
INV_100219,WH_12,PROD_0025,01/11/2024,681,1461,612,1530.0,1583.84
INV_100220,WH_11,PROD_0079,09/12/2024,2423,276,565,2134.0,3185.85
INV_100221,WH_04,PROD_0131,14/09/2024,3892,1232,107,5017.0,5543.66
INV_100222,WH_06,PROD_0179,28/08/2024,3904,797,1279,3422.0,1718.39
INV_100223,WH_06,PROD_0109,20/10/2024,4281,439,1066,3654.0,4507.64
INV_100224,WH_06,PROD_0255,18/04/2024,4832,1053,636,5249.0,7842.98
INV_100225,WH_03,PROD_0274,25/07/2024,4031,646,347,4330.0,3383.97
INV_100226,WH_02,PROD_0009,11/02/2024,536,336,1244,-372.0,-430.65
INV_100227,WH_12,PROD_0043,15/01/2024,723,198,478,443.0,418.59
INV_100228,WH_07,PROD_0001,09/03/2024,3915,1437,599,4753.0,2396.07
INV_100229,WH_04,PROD_0095,27/09/2024,1279,127,1331,75.0,97.47
INV_100230,WH_06,PROD_0184,02/04/2024,1352,462,827,987.0,1228.92
INV_100231,WH_02,PROD_0111,20/06/2024,714,365,1301,-222.0,-326.77
INV_100232,WH_09,PROD_0173,12/06/2024,2543,603,1162,1984.0,2331.41
INV_100233,WH_07,PROD_0103,28/01/2024,4476,1250,960,4766.0,3142.83
INV_100234,WH_09,PROD_0204,01/01/2024,2387,825,1282,1930.0,1075.18
INV_100235,WH_15,PROD_0265,13/04/2024,542,139,673,8.0,6.87
INV_100236,WH_01,PROD_0234,02/08/2024,1679,722,294,2107.0,1810.13
INV_100237,WH_12,PROD_0058,23/10/2024,2240,512,748,2004.0,1206.57
INV_100238,WH_09,PROD_0028,25/07/2024,3120,196,1253,2063.0,2751.76
INV_100239,WH_15,PROD_0017,18/02/2024,3351,301,817,2835.0,3276.37
INV_100240,WH_03,PROD_0218,23/11/2024,4463,665,102,5026.0,6384.98
INV_100241,WH_12,PROD_0163,02/06/2024,3921,644,375,4190.0,5880.54
INV_100242,WH_13,PROD_0071,02/06/2024,3882,1109,273,4718.0,4501.06
INV_100243,WH_04,PROD_0072,26/06/2024,1737,439,342,1834.0,1916.77
INV_100244,WH_03,PROD_0067,01/09/2024,705,1122,928,899.0,450.21
INV_100245,WH_07,PROD_0054,16/03/2024,3569,560,1422,2707.0,3419.36
INV_100246,WH_08,PROD_0079,14/09/2024,1186,335,380,1141.0,1509.87
INV_100247,WH_03,PROD_0263,10/04/2024,1237,643,1170,,0.0
INV_100248,WH_05,PROD_0138,03/03/2024,3252,1150,1051,3351.0,3872.21
INV_100249,WH_05,PROD_0096,31/12/2024,2873,132,673,2332.0,3368.96
INV_100250,WH_12,PROD_0040,11/02/2024,4722,580,590,4712.0,4016.07
INV_100251,WH_11,PROD_0186,25/03/2024,1900,1073,117,2856.0,2918.81
INV_100252,WH_13,PROD_0118,28/12/2024,1932,550,692,1790.0,2540.57
INV_100253,WH_13,PROD_0130,03/09/2024,1905,286,253,1938.0,1033.03
INV_100254,WH_04,PROD_0292,14/07/2024,1079,1113,403,1789.0,1292.89
INV_100255,WH_11,PROD_0055,21/12/2024,1197,1310,1435,,0.0
INV_100256,WH_04,PROD_0252,15/09/2024,845,1038,1395,488.0,426.54
INV_100257,WH_11,PROD_0024,08/02/2024,3991,1044,325,4710.0,4406.87
INV_100258,WH_02,PROD_0066,15/01/2024,3013,561,168,3406.0,4538.46
INV_100259,WH_08,PROD_0120,27/10/2024,3807,581,448,3940.0,3435.87
INV_100260,WH_15,PROD_0079,23/09/2024,4765,1375,689,5451.0,6517.37
INV_100261,WH_07,PROD_0216,07/05/2024,2934,943,654,3223.0,1701.44
INV_100262,WH_14,PROD_0085,25/09/2024,3874,1135,1418,3591.0,2339.77
INV_100263,WH_14,PROD_0119,09/08/2024,2302,230,1083,1449.0,1800.84
INV_100264,WH_05,PROD_0203,08/10/2024,2444,530,748,2226.0,1306.27
INV_100265,WH_10,PROD_0164,11/10/2024,3311,1440,800,3951.0,3945.24
INV_100266,WH_11,PROD_0194,12/07/2024,4982,196,881,4297.0,5402.5
INV_100267,WH_15,PROD_0014,04/09/2024,3690,1434,1235,3889.0,3386.46
INV_100268,WH_03,PROD_0116,09/04/2024,3934,529,1196,3267.0,3378.7
INV_100269,WH_02,PROD_0240,19/10/2024,2705,255,192,2768.0,3973.79
INV_100270,WH_06,PROD_0213,07/12/2024,4889,110,660,4339.0,3985.09
INV_100271,WH_15,PROD_0099,13/12/2024,2286,747,973,2060.0,2164.31
INV_100272,WH_09,PROD_0045,04/09/2024,1761,794,761,1794.0,1958.35
INV_100273,WH_06,PROD_0060,22/05/2024,3808,495,407,3896.0,4520.01
INV_100274,WH_11,PROD_0077,14/04/2024,4240,733,1031,3942.0,3809.36
INV_100275,WH_01,PROD_0129,04/04/2024,3792,1483,320,4955.0,3855.16
INV_100276,WH_02,PROD_0219,31/12/2024,3818,358,722,3454.0,3974.61
INV_100277,WH_13,PROD_0184,08/10/2024,2727,1280,1046,2961.0,2162.39
INV_100278,WH_04,PROD_0058,19/09/2024,3654,189,643,3200.0,2039.52
INV_100279,WH_05,PROD_0266,09/07/2024,1041,318,1218,141.0,74.98
INV_100280,WH_10,PROD_0219,07/05/2024,3968,314,1250,3032.0,2284.35
INV_100281,WH_12,PROD_0269,14/10/2024,2800,147,935,2012.0,1364.45
INV_100282,WH_03,PROD_0073,25/03/2024,4350,1465,1309,4506.0,5017.19
INV_100283,WH_11,PROD_0297,12/11/2024,4563,1190,520,5233.0,3052.55
INV_100284,WH_14,PROD_0104,12/12/2024,1934,1492,471,2955.0,3206.38
INV_100285,WH_06,PROD_0115,23/03/2024,1010,1148,820,1338.0,1310.24
INV_100286,WH_11,PROD_0026,17/04/2024,4321,1070,167,5224.0,7414.93
INV_100287,WH_11,PROD_0196,14/03/2024,1246,1196,254,2188.0,1767.29
INV_100288,WH_12,PROD_0004,22/06/2024,4373,975,935,4413.0,6047.34
INV_100289,WH_06,PROD_0225,08/05/2024,2141,647,1319,1469.0,1161.87
INV_100290,WH_06,PROD_0292,12/10/2024,1128,212,320,1020.0,766.47
INV_100291,WH_14,PROD_0213,10/03/2024,3456,813,614,3655.0,2609.36
INV_100292,WH_12,PROD_0007,23/02/2024,1069,1032,1267,834.0,1108.18
INV_100293,WH_12,PROD_0241,08/02/2024,3653,626,488,3791.0,3435.94
INV_100294,WH_08,PROD_0092,12/09/2024,4581,130,396,4315.0,6145.63
INV_100295,WH_15,PROD_0175,15/12/2024,951,373,1272,52.0,40.99
INV_100296,WH_03,PROD_0138,06/06/2024,4346,452,982,3816.0,3892.89
INV_100297,WH_08,PROD_0083,20/04/2024,2591,304,1026,1869.0,1028.71
INV_100298,WH_11,PROD_0211,27/10/2024,3724,237,1497,2464.0,1927.5
INV_100299,WH_12,PROD_0111,29/08/2024,3638,813,841,3610.0,2289.56
INV_100300,WH_09,PROD_0076,13/04/2024,2828,374,1481,1721.0,1799.22
INV_100301,WH_05,PROD_0222,13/07/2024,1766,783,937,1612.0,2129.32
INV_100302,WH_13,PROD_0079,27/09/2024,2123,1087,933,2277.0,2214.12
INV_100303,WH_05,PROD_0102,02/09/2024,1756,1411,744,2423.0,3412.17
INV_100304,WH_14,PROD_0273,02/02/2024,3530,1263,1404,3389.0,2880.05
INV_100305,WH_10,PROD_0141,08/09/2024,4650,102,1127,3625.0,3356.75
INV_100306,WH_09,PROD_0239,07/03/2024,3639,1385,431,4593.0,3500.45
INV_100307,WH_14,PROD_0076,02/04/2024,4943,932,490,5385.0,3295.81
INV_100308,WH_06,PROD_0097,26/07/2024,3846,1281,565,4562.0,6426.66
INV_100309,WH_10,PROD_0190,21/04/2024,2682,516,451,2747.0,2662.29
INV_100310,WH_11,PROD_0079,29/05/2024,3958,1148,1205,3901.0,2162.55
INV_100311,WH_02,PROD_0087,24/03/2024,1227,1335,644,1918.0,2075.66
INV_100312,WH_11,PROD_0283,05/11/2024,2849,1028,142,3735.0,4138.2
INV_100313,WH_07,PROD_0159,11/11/2024,2074,279,1302,1051.0,1401.56
INV_100314,WH_09,PROD_0083,15/02/2024,1852,1232,1273,1811.0,1728.96
INV_100315,WH_11,PROD_0261,21/07/2024,2839,1368,642,3565.0,3503.83
INV_100316,WH_10,PROD_0201,04/02/2024,1524,298,319,1503.0,1533.85
INV_100317,WH_03,PROD_0095,27/08/2024,2034,163,222,1975.0,1204.02
INV_100318,WH_10,PROD_0156,15/05/2024,1621,372,1366,627.0,552.35
INV_100319,WH_06,PROD_0015,17/05/2024,4525,804,144,5185.0,4685.06
INV_100320,WH_08,PROD_0056,23/05/2024,1085,374,1481,-22.0,-12.78
INV_100321,WH_10,PROD_0219,31/12/2024,3780,1113,519,4374.0,3527.0
INV_100322,WH_02,PROD_0158,26/07/2024,858,910,1122,646.0,817.07
INV_100323,WH_07,PROD_0293,12/07/2024,1400,300,1030,670.0,726.1
INV_100324,WH_13,PROD_0279,10/04/2024,1161,330,160,1331.0,1584.76
INV_100325,WH_08,PROD_0112,28/07/2024,4217,491,1262,3446.0,3378.75
INV_100326,WH_13,PROD_0184,01/01/2024,1285,489,193,1581.0,2345.92
